"Annual Electricity, Net [MWh]",Electricity Produced [MW],Total Area [acre]
955352.7055094332,103.67861911349826,4776.282302735431
955352.7055094332,209.0,4776.282302735431
955352.7055094332,208.78536458333335,4776.282302735431
955352.7055094332,115.4434375,4776.282302735431
955352.7055094332,-1.1,4776.282302735431
955352.7055094332,-1.1,4776.282302735431
955352.7055094332,-1.1,4776.282302735431
955352.7055094332,-1.1,4776.282302735431
955352.7055094332,-7.373504231770833,4776.282302735431
955352.7055094332,58.34051595052083,4776.282302735431
955352.7055094332,179.16081597222222,4776.282302735431
955352.7055094332,175.21449652777778,4776.282302735431
955352.7055094332,175.00555555555556,4776.282302735431
955352.7055094332,178.5703298611111,4776.282302735431
955352.7055094332,207.69921875,4776.282302735431
955352.7055094332,205.80012152777778,4776.282302735431
955352.7055094332,207.6290972222222,4776.282302735431
955352.7055094332,208.08756944444445,4776.282302735431
955352.7055094332,207.9834375,4776.282302735431
955352.7055094332,207.8501909722222,4776.282302735431
955352.7055094332,207.67336805555556,4776.282302735431
955352.7055094332,207.40394097222222,4776.282302735431
955352.7055094332,9.039358791775173,4776.282302735431
955352.7055094332,-1.1,4776.282302735431
955352.7055094332,-1.1,4776.282302735431
955352.7055094332,-1.1,4776.282302735431
955352.7055094332,-1.1,4776.282302735431
955352.7055094332,-1.1,4776.282302735431
955352.7055094332,-1.1,4776.282302735431
955352.7055094332,-1.1,4776.282302735431
955352.7055094332,-1.1,4776.282302735431
955352.7055094332,-1.1,4776.282302735431
955352.7055094332,-9.463528645833334,4776.282302735431
955352.7055094332,75.57435784233941,4776.282302735431
955352.7055094332,197.93276041666667,4776.282302735431
955352.7055094332,195.18043402777778,4776.282302735431
955352.7055094332,196.7535763888889,4776.282302735431
955352.7055094332,194.33670138888888,4776.282302735431
955352.7055094332,195.14130208333333,4776.282302735431
955352.7055094332,206.00414930555556,4776.282302735431
955352.7055094332,206.42057291666666,4776.282302735431
955352.7055094332,206.24046875,4776.282302735431
955352.7055094332,115.86247395833334,4776.282302735431
955352.7055094332,-1.1,4776.282302735431
955352.7055094332,-1.1,4776.282302735431
955352.7055094332,-1.1,4776.282302735431
955352.7055094332,-1.1,4776.282302735431
955352.7055094332,-1.1,4776.282302735431
955352.7055094332,-1.1,4776.282302735431
955352.7055094332,-1.1,4776.282302735431
955352.7055094332,-1.1,4776.282302735431
955352.7055094332,-1.1,4776.282302735431
955352.7055094332,-1.1,4776.282302735431
955352.7055094332,-1.1,4776.282302735431
955352.7055094332,-1.1,4776.282302735431
955352.7055094332,-1.1,4776.282302735431
955352.7055094332,-3.340390353732639,4776.282302735431
955352.7055094332,-6.0569059244791665,4776.282302735431
955352.7055094332,44.09289849175347,4776.282302735431
955352.7055094332,191.23741319444446,4776.282302735431
955352.7055094332,199.31234375,4776.282302735431
955352.7055094332,193.50836805555556,4776.282302735431
955352.7055094332,195.76388888888889,4776.282302735431
955352.7055094332,197.00859375,4776.282302735431
955352.7055094332,204.38444444444445,4776.282302735431
955352.7055094332,204.73885416666667,4776.282302735431
955352.7055094332,123.15032118055555,4776.282302735431
955352.7055094332,-1.1,4776.282302735431
955352.7055094332,-1.1,4776.282302735431
955352.7055094332,-1.1,4776.282302735431
955352.7055094332,-1.1,4776.282302735431
955352.7055094332,-1.1,4776.282302735431
955352.7055094332,-1.1,4776.282302735431
955352.7055094332,-1.1,4776.282302735431
955352.7055094332,-1.1,4776.282302735431
955352.7055094332,-1.1,4776.282302735431
955352.7055094332,-1.1,4776.282302735431
955352.7055094332,-1.1,4776.282302735431
955352.7055094332,-1.1,4776.282302735431
955352.7055094332,-1.1,4776.282302735431
955352.7055094332,-1.1,4776.282302735431
955352.7055094332,-1.1,4776.282302735431
955352.7055094332,-1.1,4776.282302735431
955352.7055094332,-1.1,4776.282302735431
955352.7055094332,-1.1,4776.282302735431
955352.7055094332,-4.891046549479166,4776.282302735431
955352.7055094332,-1.635050048828125,4776.282302735431
955352.7055094332,-1.1,4776.282302735431
955352.7055094332,-1.1,4776.282302735431
955352.7055094332,-1.1,4776.282302735431
955352.7055094332,-1.1,4776.282302735431
955352.7055094332,-1.1,4776.282302735431
955352.7055094332,-1.1,4776.282302735431
955352.7055094332,-1.1,4776.282302735431
955352.7055094332,-1.1,4776.282302735431
955352.7055094332,-1.1,4776.282302735431
955352.7055094332,-1.1,4776.282302735431
955352.7055094332,-1.1,4776.282302735431
955352.7055094332,-1.1,4776.282302735431
955352.7055094332,-1.1,4776.282302735431
955352.7055094332,-1.1,4776.282302735431
955352.7055094332,-1.1,4776.282302735431
955352.7055094332,-1.1,4776.282302735431
955352.7055094332,-1.1,4776.282302735431
955352.7055094332,-1.1,4776.282302735431
955352.7055094332,-1.1,4776.282302735431
955352.7055094332,-9.955453559027777,4776.282302735431
955352.7055094332,-1.635050048828125,4776.282302735431
955352.7055094332,-1.1,4776.282302735431
955352.7055094332,-1.1,4776.282302735431
955352.7055094332,-11.042544352213541,4776.282302735431
955352.7055094332,-1.635050048828125,4776.282302735431
955352.7055094332,-1.1,4776.282302735431
955352.7055094332,-1.1,4776.282302735431
955352.7055094332,-1.1,4776.282302735431
955352.7055094332,-1.1,4776.282302735431
955352.7055094332,-1.1,4776.282302735431
955352.7055094332,-1.1,4776.282302735431
955352.7055094332,-1.1,4776.282302735431
955352.7055094332,-1.1,4776.282302735431
955352.7055094332,-1.1,4776.282302735431
955352.7055094332,-1.1,4776.282302735431
955352.7055094332,-1.1,4776.282302735431
955352.7055094332,-1.1,4776.282302735431
955352.7055094332,-1.1,4776.282302735431
955352.7055094332,-1.1,4776.282302735431
955352.7055094332,-1.1,4776.282302735431
955352.7055094332,-1.1,4776.282302735431
955352.7055094332,-10.231606835259331,4776.282302735431
955352.7055094332,82.066142578125,4776.282302735431
955352.7055094332,175.3243576388889,4776.282302735431
955352.7055094332,170.58171875,4776.282302735431
955352.7055094332,170.2838888888889,4776.282302735431
955352.7055094332,176.01866319444446,4776.282302735431
955352.7055094332,183.81116319444445,4776.282302735431
955352.7055094332,194.51876736111112,4776.282302735431
955352.7055094332,205.12619791666665,4776.282302735431
955352.7055094332,205.66296875,4776.282302735431
955352.7055094332,205.62956597222222,4776.282302735431
955352.7055094332,205.58805555555554,4776.282302735431
955352.7055094332,205.53317708333333,4776.282302735431
955352.7055094332,205.4571875,4776.282302735431
955352.7055094332,205.36442708333334,4776.282302735431
955352.7055094332,205.25345486111112,4776.282302735431
955352.7055094332,205.11532986111112,4776.282302735431
955352.7055094332,204.92838541666666,4776.282302735431
955352.7055094332,204.6453125,4776.282302735431
955352.7055094332,14.333585442437066,4776.282302735431
955352.7055094332,-1.1,4776.282302735431
955352.7055094332,-1.1,4776.282302735431
955352.7055094332,-1.1,4776.282302735431
955352.7055094332,-1.1,4776.282302735431
955352.7055094332,-8.964710286458333,4776.282302735431
955352.7055094332,71.11747450086806,4776.282302735431
955352.7055094332,199.46663194444446,4776.282302735431
955352.7055094332,199.2743923611111,4776.282302735431
955352.7055094332,173.24644097222222,4776.282302735431
955352.7055094332,176.64248263888888,4776.282302735431
955352.7055094332,194.50277777777777,4776.282302735431
955352.7055094332,195.25237847222223,4776.282302735431
955352.7055094332,206.89347222222221,4776.282302735431
955352.7055094332,207.3995486111111,4776.282302735431
955352.7055094332,207.27895833333332,4776.282302735431
955352.7055094332,207.11973958333334,4776.282302735431
955352.7055094332,206.9295486111111,4776.282302735431
955352.7055094332,206.64897569444443,4776.282302735431
955352.7055094332,7.188986206054688,4776.282302735431
955352.7055094332,-1.1,4776.282302735431
955352.7055094332,-1.1,4776.282302735431
955352.7055094332,-1.1,4776.282302735431
955352.7055094332,-1.1,4776.282302735431
955352.7055094332,-1.1,4776.282302735431
955352.7055094332,-1.1,4776.282302735431
955352.7055094332,-1.1,4776.282302735431
955352.7055094332,-1.1,4776.282302735431
955352.7055094332,-1.1,4776.282302735431
955352.7055094332,-3.5861686197916667,4776.282302735431
955352.7055094332,-10.290315483940972,4776.282302735431
955352.7055094332,-1.635050048828125,4776.282302735431
955352.7055094332,-16.3146142578125,4776.282302735431
955352.7055094332,194.88853353473874,4776.282302735431
955352.7055094332,179.87366319444445,4776.282302735431
955352.7055094332,199.4911111111111,4776.282302735431
955352.7055094332,204.94848958333333,4776.282302735431
955352.7055094332,205.2652951388889,4776.282302735431
955352.7055094332,60.58387586805556,4776.282302735431
955352.7055094332,-1.1,4776.282302735431
955352.7055094332,-1.1,4776.282302735431
955352.7055094332,-1.1,4776.282302735431
955352.7055094332,-1.1,4776.282302735431
955352.7055094332,-1.1,4776.282302735431
955352.7055094332,-1.1,4776.282302735431
955352.7055094332,-1.1,4776.282302735431
955352.7055094332,-1.1,4776.282302735431
955352.7055094332,-1.1,4776.282302735431
955352.7055094332,-1.1,4776.282302735431
955352.7055094332,-1.1,4776.282302735431
955352.7055094332,-1.1,4776.282302735431
955352.7055094332,-1.1,4776.282302735431
955352.7055094332,-1.1,4776.282302735431
955352.7055094332,-7.327911241319445,4776.282302735431
955352.7055094332,-3.2077647569444445,4776.282302735431
955352.7055094332,-3.2388507758246528,4776.282302735431
955352.7055094332,-11.25849609375,4776.282302735431
955352.7055094332,135.54844211154514,4776.282302735431
955352.7055094332,198.60069444444446,4776.282302735431
955352.7055094332,198.91453125,4776.282302735431
