Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Dew Point Units,DHI Units,DNI Units,GHI Units,Temperature Units,Pressure Units,Wind Direction Units,Wind Speed Units,Surface Albedo Units,Version
NSRDB,895043,-,-,-,30.97,-88.02,-6,22,-6,c,w/m2,w/m2,w/m2,c,mbar,Degrees,m/s,N/A,3.2.4
Year,Month,Day,Hour,Minute,GHI,DHI,DNI,Wind Speed,Wind Direction,Temperature,Pressure,Dew Point,,,,,,,
2009,1,1,0,30,0,0,0,0.2,41,1.8,1021,0.4,,,,,,,
2009,1,1,1,30,0,0,0,0.2,40,1.1,1021,0.1,,,,,,,
2009,1,1,2,30,0,0,0,0.2,42,0.7000000000000001,1020,-0.30000000000000004,,,,,,,
2009,1,1,3,30,0,0,0,0.2,49,0.30000000000000004,1020,-0.6000000000000001,,,,,,,
2009,1,1,4,30,0,0,0,0.2,57,0,1020,-0.9,,,,,,,
2009,1,1,5,30,0,0,0,0.2,65,-0.2,1021,-1.2000000000000002,,,,,,,
2009,1,1,6,30,0,0,0,0.2,72,0.2,1021,-1.4000000000000001,,,,,,,
2009,1,1,7,30,91,33,494,0.2,82,2,1021,-1.2000000000000002,,,,,,,
2009,1,1,8,30,182,112,242,0.2,98,4.6000000000000005,1021,-0.8,,,,,,,
2009,1,1,9,30,331,159,395,0.2,111,7.300000000000001,1021,0.1,,,,,,,
2009,1,1,10,30,423,208,402,0.2,124,9.9,1021,1.8,,,,,,,
2009,1,1,11,30,507,196,533,0.2,136,12.3,1020,3.9000000000000004,,,,,,,
2009,1,1,12,30,613,89,904,0.2,143,13.9,1019,5.800000000000001,,,,,,,
2009,1,1,13,30,419,199,421,0.2,144,14.600000000000001,1018,7.2,,,,,,,
2009,1,1,14,30,294,166,306,0.1,136,14.4,1018,8.3,,,,,,,
2009,1,1,15,30,236,67,623,0.2,120,12.8,1017,9.9,,,,,,,
2009,1,1,16,30,29,29,0,0.2,113,11,1017,10.4,,,,,,,
2009,1,1,17,30,0,0,0,0.2,112,10.5,1017,9.700000000000001,,,,,,,
2009,1,1,18,30,0,0,0,0.2,116,10.4,1016,10,,,,,,,
2009,1,1,19,30,0,0,0,0.2,116,10.4,1016,10.3,,,,,,,
2009,1,1,20,30,0,0,0,0.2,124,10.9,1016,10.600000000000001,,,,,,,
2009,1,1,21,30,0,0,0,0.2,139,11.600000000000001,1016,11.100000000000001,,,,,,,
2009,1,1,22,30,0,0,0,0.2,147,12,1015,11.700000000000001,,,,,,,
