Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Dew Point Units,DHI Units,DNI Units,GHI Units,Temperature Units,Pressure Units,Wind Direction Units,Wind Speed Units,Surface Albedo Units,Version
NSRDB,181243,-,-,-,36.73,-119.62,-8,110,-8,c,w/m2,w/m2,w/m2,c,mbar,Degrees,m/s,N/A,3.2.4
Year,Month,Day,Hour,Minute,GHI,DHI,DNI,Wind Speed,Wind Direction,Temperature,Pressure,Dew Point,,,,,,,
2006,1,1,0,30,0,0,0,1.7000000000000002,94,6.1000000000000005,992,4.4,,,,,,,
2006,1,1,1,30,0,0,0,1.7000000000000002,93,5.7,992,3.4000000000000004,,,,,,,
2006,1,1,2,30,0,0,0,1.7000000000000002,95,5.300000000000001,992,2.2,,,,,,,
2006,1,1,3,30,0,0,0,1.7000000000000002,99,5.300000000000001,991,0.9,,,,,,,
2006,1,1,4,30,0,0,0,1.8,102,5.2,991,0.2,,,,,,,
2006,1,1,5,30,0,0,0,1.9000000000000001,103,5.1000000000000005,991,-0.2,,,,,,,
2006,1,1,6,30,0,0,0,2,103,5.300000000000001,991,-0.5,,,,,,,
2006,1,1,7,30,11,11,0,2.2,105,7.1000000000000005,990,-0.5,,,,,,,
2006,1,1,8,30,20,20,0,2.6,112,9.700000000000001,990,1.1,,,,,,,
2006,1,1,9,30,58,58,0,3.1,117,11.3,989,1.1,,,,,,,
2006,1,1,10,30,73,73,0,3,122,12.100000000000001,987,0.9,,,,,,,
2006,1,1,11,30,52,52,0,2.6,139,11.700000000000001,986,2.3000000000000003,,,,,,,
2006,1,1,12,30,63,63,0,3.2,131,10.600000000000001,986,4.1000000000000005,,,,,,,
2006,1,1,13,30,18,18,0,4,108,9.9,983,4,,,,,,,
2006,1,1,14,30,34,34,0,3.2,112,9.700000000000001,983,4.7,,,,,,,
2006,1,1,15,30,18,18,0,2.5,119,9.4,984,6.1000000000000005,,,,,,,
2006,1,1,16,30,5,5,0,3.4000000000000004,119,8.5,984,6.6000000000000005,,,,,,,
2006,1,1,17,30,0,0,0,4.3,113,8.4,984,6.6000000000000005,,,,,,,
2006,1,1,18,30,0,0,0,4.9,116,8.3,984,6.4,,,,,,,
2006,1,1,19,30,0,0,0,5.2,125,8.5,983,6.300000000000001,,,,,,,
2006,1,1,20,30,0,0,0,4.800000000000001,134,8.6,983,6.6000000000000005,,,,,,,
2006,1,1,21,30,0,0,0,3.8000000000000003,138,8.4,983,6.9,,,,,,,
2006,1,1,22,30,0,0,0,2.8000000000000003,140,8.1,983,7,,,,,,,
2006,1,1,23,30,0,0,0,2.1,138,7.800000000000001,983,7,,,,,,,
2006,1,2,0,30,0,0,0,1.3,138,7.7,983,6.9,,,,,,,
2006,1,2,1,30,0,0,0,0.9,110,8,983,7.1000000000000005,,,,,,,
2006,1,2,2,30,0,0,0,1,72,7.800000000000001,982,7.1000000000000005,,,,,,,
2006,1,2,3,30,0,0,0,1.3,65,6.9,982,6.300000000000001,,,,,,,
2006,1,2,4,30,0,0,0,1.5,72,6.5,981,5.5,,,,,,,
2006,1,2,5,30,0,0,0,1.8,83,6.4,981,5.1000000000000005,,,,,,,
2006,1,2,6,30,0,0,0,2.1,98,6.5,981,5,,,,,,,
2006,1,2,7,30,9,9,0,2.5,106,6.800000000000001,981,5.2,,,,,,,
2006,1,2,8,30,16,16,0,2.9000000000000004,112,7.300000000000001,981,5.7,,,,,,,
2006,1,2,9,30,35,35,0,3.2,122,7.7,981,6.1000000000000005,,,,,,,
2006,1,2,10,30,296,192,233,3.4000000000000004,137,8.1,981,6.6000000000000005,,,,,,,
2006,1,2,11,30,239,212,55,3.6,151,8.6,980,7,,,,,,,
2006,1,2,12,30,330,225,209,3.7,157,8.9,979,7.300000000000001,,,,,,,
2006,1,2,13,30,21,21,0,3.5,158,8.9,980,7.4,,,,,,,
2006,1,2,14,30,185,151,95,3.2,168,8.700000000000001,980,7.2,,,,,,,
2006,1,2,15,30,5,5,0,3.1,176,8.5,980,6.800000000000001,,,,,,,
2006,1,2,16,30,11,11,0,2.7,202,7.7,983,6.4,,,,,,,
2006,1,2,17,30,0,0,0,2.5,219,7.2,985,5.9,,,,,,,
2006,1,2,18,30,0,0,0,2.2,235,7,987,5.6000000000000005,,,,,,,
2006,1,2,19,30,0,0,0,1.8,247,6.7,990,5.5,,,,,,,
2006,1,2,20,30,0,0,0,1.3,249,6.6000000000000005,992,5.5,,,,,,,
2006,1,2,21,30,0,0,0,1.1,244,6.6000000000000005,993,5.5,,,,,,,
2006,1,2,22,30,0,0,0,0.9,237,6.7,995,5.6000000000000005,,,,,,,
2006,1,2,23,30,0,0,0,0.7000000000000001,225,6.800000000000001,995,5.6000000000000005,,,,,,,
2006,1,3,0,30,0,0,0,0.5,177,6.9,996,5.7,,,,,,,
2006,1,3,1,30,0,0,0,0.6000000000000001,120,6.6000000000000005,997,5.6000000000000005,,,,,,,
2006,1,3,2,30,0,0,0,0.8,100,6,997,5.1000000000000005,,,,,,,
2006,1,3,3,30,0,0,0,1,94,5.7,997,4.7,,,,,,,
2006,1,3,4,30,0,0,0,1,92,5.5,998,4.6000000000000005,,,,,,,
2006,1,3,5,30,0,0,0,1,97,5.1000000000000005,998,4.2,,,,,,,
2006,1,3,6,30,0,0,0,1,105,4.9,999,3.2,,,,,,,
2006,1,3,7,30,25,21,86,1,114,5.6000000000000005,1000,2.4000000000000004,,,,,,,
2006,1,3,8,30,168,74,443,0.9,118,7.1000000000000005,1002,3.1,,,,,,,
2006,1,3,9,30,129,126,9,0.9,112,8.3,1003,4.4,,,,,,,
2006,1,3,10,30,123,123,0,1.2000000000000002,102,8.6,1003,4.9,,,,,,,
2006,1,3,11,30,399,187,424,1.6,99,8.700000000000001,1002,4.800000000000001,,,,,,,
2006,1,3,12,30,384,201,364,1.8,102,9.5,1001,4.7,,,,,,,
2006,1,3,13,30,299,197,223,1.6,109,10.5,1000,4,,,,,,,
2006,1,3,14,30,84,84,0,0.9,106,10.8,1001,4.1000000000000005,,,,,,,
2006,1,3,15,30,50,50,0,0.4,99,10.700000000000001,1001,4.4,,,,,,,
2006,1,3,16,30,20,20,0,0.7000000000000001,37,8.700000000000001,1002,3,,,,,,,
2006,1,3,17,30,0,0,0,1.1,64,7.6000000000000005,1003,1.7000000000000002,,,,,,,
2006,1,3,18,30,0,0,0,1.2000000000000002,74,7.2,1003,1.2000000000000002,,,,,,,
2006,1,3,19,30,0,0,0,1.3,82,7.2,1004,1,,,,,,,
2006,1,3,20,30,0,0,0,1.3,88,7.2,1004,0.9,,,,,,,
2006,1,3,21,30,0,0,0,1.3,96,7.2,1004,1,,,,,,,
2006,1,3,22,30,0,0,0,1.3,102,7.300000000000001,1004,0.7000000000000001,,,,,,,
2006,1,3,23,30,0,0,0,1.2000000000000002,103,7,1004,0.5,,,,,,,
2006,1,4,0,30,0,0,0,1.2000000000000002,100,6.7,1003,0.8,,,,,,,
2006,1,4,1,30,0,0,0,1.1,95,6.800000000000001,1003,1.2000000000000002,,,,,,,
2006,1,4,2,30,0,0,0,1.1,89,7.2,1003,1.6,,,,,,,
2006,1,4,3,30,0,0,0,1,79,7.5,1003,1.5,,,,,,,
2006,1,4,4,30,0,0,0,1,72,7.7,1003,1.5,,,,,,,
2006,1,4,5,30,0,0,0,1,76,7.7,1003,1.4000000000000001,,,,,,,
2006,1,4,6,30,0,0,0,1,87,7.6000000000000005,1003,1.3,,,,,,,
2006,1,4,7,30,15,15,0,0.8,97,8.5,1004,1.8,,,,,,,
