Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Dew Point Units,DHI Units,DNI Units,GHI Units,Temperature Units,Pressure Units,Wind Direction Units,Wind Speed Units,Surface Albedo Units,Version
NSRDB,169433,-,-,-,34.93,-120.34,-8,106,-8,c,w/m2,w/m2,w/m2,c,mbar,Degrees,m/s,N/A,3.2.4
Year,Month,Day,Hour,Minute,GHI,DHI,DNI,Wind Speed,Wind Direction,Temperature,Pressure,Dew Point,,,,,,,
2021,1,1,0,30,0,0,0,2.7,6,7.9,1011,5.7,,,,,,,
2021,1,1,1,30,0,0,0,2.7,10,7.7,1011,5.7,,,,,,,
2021,1,1,2,30,0,0,0,2.6,14,7.5,1011,5.6000000000000005,,,,,,,
2021,1,1,3,30,0,0,0,2.5,19,7.300000000000001,1011,5.4,,,,,,,
2021,1,1,4,30,0,0,0,2.4000000000000004,26,7.300000000000001,1011,5.1000000000000005,,,,,,,
2021,1,1,5,30,0,0,0,2.3000000000000003,34,7.300000000000001,1011,4.7,,,,,,,
2021,1,1,6,30,0,0,0,2.2,44,7.6000000000000005,1011,4.2,,,,,,,
2021,1,1,7,30,38,22,302,2.4000000000000004,57,9.4,1012,3.8000000000000003,,,,,,,
2021,1,1,8,30,202,46,698,2.5,68,12.200000000000001,1012,4,,,,,,,
2021,1,1,9,30,364,59,834,2.1,93,14.700000000000001,1013,3.5,,,,,,,
2021,1,1,10,30,485,67,894,1.8,155,16.6,1012,2.5,,,,,,,
2021,1,1,11,30,550,70,917,2.1,213,17.400000000000002,1012,2.1,,,,,,,
2021,1,1,12,30,554,72,913,2.6,239,17.400000000000002,1012,3.1,,,,,,,
2021,1,1,13,30,495,70,882,2.7,255,16.8,1012,3.6,,,,,,,
2021,1,1,14,30,381,65,816,2.4000000000000004,267,15.9,1012,4.1000000000000005,,,,,,,
2021,1,1,15,30,191,73,470,2.1,272,15.3,1012,5.300000000000001,,,,,,,
2021,1,1,16,30,44,31,149,1.4000000000000001,295,12.8,1013,6.9,,,,,,,
2021,1,1,17,30,0,0,0,1.1,301,12.200000000000001,1013,6.7,,,,,,,
2021,1,1,18,30,0,0,0,0.8,302,11.9,1014,6.800000000000001,,,,,,,
2021,1,1,19,30,0,0,0,1,303,11.5,1014,6.9,,,,,,,
2021,1,1,20,30,0,0,0,1.4000000000000001,310,11.100000000000001,1014,7.2,,,,,,,
2021,1,1,21,30,0,0,0,1.5,325,10.700000000000001,1015,7.6000000000000005,,,,,,,
2021,1,1,22,30,0,0,0,1.3,171,10.3,1015,7.800000000000001,,,,,,,
2021,1,1,23,30,0,0,0,1.1,19,9.8,1014,7.7,,,,,,,
2021,1,2,0,30,0,0,0,0.8,27,9.600000000000001,1014,7.2,,,,,,,
2021,1,2,1,30,0,0,0,0.8,15,9.8,1014,6.6000000000000005,,,,,,,
2021,1,2,2,30,0,0,0,0.9,18,9.8,1014,6,,,,,,,
2021,1,2,3,30,0,0,0,1,30,9.8,1014,5.5,,,,,,,
2021,1,2,4,30,0,0,0,0.9,15,10,1015,5,,,,,,,
2021,1,2,5,30,0,0,0,0.9,171,10.4,1015,4.6000000000000005,,,,,,,
2021,1,2,6,30,0,0,0,1,172,10.5,1016,4.3,,,,,,,
2021,1,2,7,30,22,20,36,0.9,24,11.3,1016,4.2,,,,,,,
2021,1,2,8,30,165,65,448,0.7000000000000001,48,13.100000000000001,1017,5.300000000000001,,,,,,,
2021,1,2,9,30,352,67,778,1.1,191,15.100000000000001,1017,4,,,,,,,
2021,1,2,10,30,470,80,833,1.7000000000000002,323,16.5,1017,3.9000000000000004,,,,,,,
2021,1,2,11,30,443,173,514,2,308,16.8,1016,4.9,,,,,,,
2021,1,2,12,30,403,205,374,2.1,297,16.900000000000002,1015,6,,,,,,,
2021,1,2,13,30,394,162,481,2.3000000000000003,286,16.8,1015,7.1000000000000005,,,,,,,
2021,1,2,14,30,305,122,470,2.4000000000000004,280,16.1,1015,8,,,,,,,
2021,1,2,15,30,119,94,98,2.5,279,15.700000000000001,1015,8.8,,,,,,,
2021,1,2,16,30,31,30,13,1.7000000000000002,280,13.4,1015,9.9,,,,,,,
2021,1,2,17,30,0,0,0,1.2000000000000002,274,12.600000000000001,1016,10,,,,,,,
2021,1,2,18,30,0,0,0,0.9,268,12.200000000000001,1016,10.100000000000001,,,,,,,
2021,1,2,19,30,0,0,0,0.9,273,11.9,1016,10.100000000000001,,,,,,,
2021,1,2,20,30,0,0,0,0.9,286,11.8,1016,10.200000000000001,,,,,,,
2021,1,2,21,30,0,0,0,0.8,297,11.9,1016,10.4,,,,,,,
2021,1,2,22,30,0,0,0,0.8,303,12,1016,10.600000000000001,,,,,,,
2021,1,2,23,30,0,0,0,1,305,12,1015,10.700000000000001,,,,,,,
2021,1,3,0,30,0,0,0,1.3,306,11.9,1015,10.700000000000001,,,,,,,
2021,1,3,1,30,0,0,0,1.4000000000000001,310,11.9,1015,10.8,,,,,,,
2021,1,3,2,30,0,0,0,1.4000000000000001,316,11.9,1015,10.8,,,,,,,
2021,1,3,3,30,0,0,0,1.4000000000000001,318,11.8,1015,10.8,,,,,,,
2021,1,3,4,30,0,0,0,1.5,319,11.700000000000001,1015,10.700000000000001,,,,,,,
2021,1,3,5,30,0,0,0,1.6,326,11.600000000000001,1015,10.600000000000001,,,,,,,
2021,1,3,6,30,0,0,0,1.5,337,11.700000000000001,1015,10.4,,,,,,,
2021,1,3,7,30,22,18,71,1.6,346,12.100000000000001,1015,10.3,,,,,,,
2021,1,3,8,30,65,64,3,1.7000000000000002,352,12.9,1016,10.3,,,,,,,
2021,1,3,9,30,174,146,76,1.8,353,13.8,1016,9.9,,,,,,,
2021,1,3,10,30,362,168,414,1.7000000000000002,350,14.700000000000001,1015,9.4,,,,,,,
2021,1,3,11,30,538,79,874,1.6,345,15.600000000000001,1014,9.3,,,,,,,
2021,1,3,12,30,449,171,524,1.6,338,16.400000000000002,1013,9,,,,,,,
2021,1,3,13,30,491,74,860,1.6,329,16.6,1013,8.6,,,,,,,
2021,1,3,14,30,379,67,798,1.7000000000000002,324,16.3,1013,8.4,,,,,,,
2021,1,3,15,30,226,53,674,1.7000000000000002,323,16,1013,8.4,,,,,,,
2021,1,3,16,30,62,29,366,1.5,320,13.3,1013,9.5,,,,,,,
2021,1,3,17,30,0,0,0,1.6,329,12.3,1013,8.9,,,,,,,
2021,1,3,18,30,0,0,0,1.5,340,11.9,1014,8.700000000000001,,,,,,,
2021,1,3,19,30,0,0,0,1.3,352,11.5,1013,8.200000000000001,,,,,,,
2021,1,3,20,30,0,0,0,1,352,11.3,1013,7.7,,,,,,,
2021,1,3,21,30,0,0,0,0.8,324,11.200000000000001,1013,7.300000000000001,,,,,,,
2021,1,3,22,30,0,0,0,0.8,288,11.100000000000001,1013,7.1000000000000005,,,,,,,
2021,1,3,23,30,0,0,0,1.1,274,11,1013,7.2,,,,,,,
2021,1,4,0,30,0,0,0,1.3,276,10.700000000000001,1013,7.5,,,,,,,
2021,1,4,1,30,0,0,0,1.4000000000000001,280,10.4,1014,7.800000000000001,,,,,,,
2021,1,4,2,30,0,0,0,1.4000000000000001,283,10.100000000000001,1014,8.200000000000001,,,,,,,
2021,1,4,3,30,0,0,0,1.1,288,10,1014,8.6,,,,,,,
2021,1,4,4,30,0,0,0,0.7000000000000001,298,9.9,1014,8.9,,,,,,,
2021,1,4,5,30,0,0,0,0.5,209,9.8,1014,9.1,,,,,,,
2021,1,4,6,30,0,0,0,0.7000000000000001,115,9.9,1015,9.1,,,,,,,
2021,1,4,7,30,35,21,267,1.1,122,10.9,1015,9,,,,,,,
2021,1,4,8,30,183,54,575,1.2000000000000002,146,13,1015,9,,,,,,,
2021,1,4,9,30,351,64,782,1.5,203,14.9,1015,9.4,,,,,,,
2021,1,4,10,30,277,184,197,2.3000000000000003,243,16.1,1015,10.4,,,,,,,
2021,1,4,11,30,522,93,814,2.6,249,16.5,1014,11.100000000000001,,,,,,,
2021,1,4,12,30,486,124,680,2.6,255,16.400000000000002,1014,11.5,,,,,,,
2021,1,4,13,30,224,185,80,2.5,262,16.2,1014,11.700000000000001,,,,,,,
2021,1,4,14,30,152,140,30,2.2,270,15.9,1013,11.9,,,,,,,
2021,1,4,15,30,141,92,188,2,273,15.600000000000001,1013,12,,,,,,,
2021,1,4,16,30,65,30,380,1.5,303,13.8,1014,12.200000000000001,,,,,,,
2021,1,4,17,30,0,0,0,1.3,329,13,1014,12.100000000000001,,,,,,,
2021,1,4,18,30,0,0,0,1.1,175,12.700000000000001,1014,12.100000000000001,,,,,,,
2021,1,4,19,30,0,0,0,1.2000000000000002,181,12.3,1014,12,,,,,,,
2021,1,4,20,30,0,0,0,1.5,348,12,1014,11.8,,,,,,,
2021,1,4,21,30,0,0,0,2,337,11.700000000000001,1014,11.600000000000001,,,,,,,
2021,1,4,22,30,0,0,0,2.2,337,11.5,1014,11.5,,,,,,,
2021,1,4,23,30,0,0,0,2.1,343,11.5,1014,11.3,,,,,,,
2021,1,5,0,30,0,0,0,2.1,347,11.5,1014,11,,,,,,,
2021,1,5,1,30,0,0,0,2.2,351,11.4,1014,10.8,,,,,,,
2021,1,5,2,30,0,0,0,2.5,354,11.100000000000001,1014,10.600000000000001,,,,,,,
2021,1,5,3,30,0,0,0,2.9000000000000004,357,10.9,1014,10.200000000000001,,,,,,,
2021,1,5,4,30,0,0,0,3.3000000000000003,181,10.600000000000001,1014,9.8,,,,,,,
2021,1,5,5,30,0,0,0,3.5,7,10.100000000000001,1014,9.200000000000001,,,,,,,
2021,1,5,6,30,0,0,0,3.6,15,9.9,1014,8.700000000000001,,,,,,,
2021,1,5,7,30,36,23,253,4.1000000000000005,25,10.600000000000001,1014,8.200000000000001,,,,,,,
2021,1,5,8,30,202,52,669,4.2,30,12.200000000000001,1015,8.1,,,,,,,
2021,1,5,9,30,368,65,824,3.8000000000000003,20,14.100000000000001,1014,8.1,,,,,,,
2021,1,5,10,30,495,73,895,3.6,181,15.8,1014,7.800000000000001,,,,,,,
