Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Dew Point Units,DHI Units,DNI Units,GHI Units,Temperature Units,Pressure Units,Wind Direction Units,Wind Speed Units,Surface Albedo Units,Version
NSRDB,961031,-,-,-,32.09,-84.82,-5,119,-5,c,w/m2,w/m2,w/m2,c,mbar,Degrees,m/s,N/A,3.2.4
Year,Month,Day,Hour,Minute,GHI,DHI,DNI,Wind Speed,Wind Direction,Temperature,Pressure,Dew Point,,,,,,,
2008,1,1,0,30,0,0,0,0.4,262,5.4,1005,5.4,,,,,,,
2008,1,1,1,30,0,0,0,0.4,270,5.2,1005,5.2,,,,,,,
2008,1,1,2,30,0,0,0,0.4,279,5.300000000000001,1006,5.300000000000001,,,,,,,
2008,1,1,3,30,0,0,0,0.4,290,5.4,1006,5.4,,,,,,,
2008,1,1,4,30,0,0,0,0.4,301,5.1000000000000005,1006,5.1000000000000005,,,,,,,
2008,1,1,5,30,0,0,0,0.4,310,4.9,1007,4.9,,,,,,,
2008,1,1,6,30,0,0,0,0.4,314,4.5,1008,4.5,,,,,,,
2008,1,1,7,30,0,0,0,0.6000000000000001,316,4.5,1009,4,,,,,,,
2008,1,1,8,30,123,38,581,0.8,320,5.5,1010,3,,,,,,,
2008,1,1,9,30,311,55,818,0.9,320,7,1011,1.3,,,,,,,
2008,1,1,10,30,475,60,932,1,315,8.200000000000001,1012,-0.7000000000000001,,,,,,,
2008,1,1,11,30,585,61,980,1,309,8.9,1012,-2.1,,,,,,,
2008,1,1,12,30,637,61,1008,1.1,306,9.3,1011,-2.8000000000000003,,,,,,,
2008,1,1,13,30,612,60,992,1.1,306,9.3,1011,-3.1,,,,,,,
2008,1,1,14,30,528,57,963,1.1,308,8.9,1011,-3.2,,,,,,,
2008,1,1,15,30,391,52,908,1,311,8.1,1011,-3.5,,,,,,,
2008,1,1,16,30,210,40,767,0.7000000000000001,310,6.4,1012,-3.5,,,,,,,
2008,1,1,17,30,31,15,375,0.5,307,4.6000000000000005,1012,-2.8000000000000003,,,,,,,
2008,1,1,18,30,0,0,0,0.5,305,3.9000000000000004,1013,-2.7,,,,,,,
2008,1,1,19,30,0,0,0,0.5,300,2.9000000000000004,1014,-2.9000000000000004,,,,,,,
2008,1,1,20,30,0,0,0,0.5,299,2.4000000000000004,1014,-3.1,,,,,,,
2008,1,1,21,30,0,0,0,0.5,299,2,1014,-3.3000000000000003,,,,,,,
2008,1,1,22,30,0,0,0,0.6000000000000001,300,1.7000000000000002,1014,-3.4000000000000004,,,,,,,
2008,1,1,23,30,0,0,0,0.6000000000000001,302,1.3,1014,-3.6,,,,,,,
2008,1,2,0,30,0,0,0,0.6000000000000001,304,0.9,1014,-3.9000000000000004,,,,,,,
2008,1,2,1,30,0,0,0,0.6000000000000001,306,0.4,1015,-4.6000000000000005,,,,,,,
2008,1,2,2,30,0,0,0,0.7000000000000001,309,-0.30000000000000004,1015,-5.800000000000001,,,,,,,
2008,1,2,3,30,0,0,0,0.7000000000000001,311,-1.3,1016,-7.2,,,,,,,
2008,1,2,4,30,0,0,0,0.7000000000000001,313,-2.3000000000000003,1016,-9,,,,,,,
2008,1,2,5,30,0,0,0,0.7000000000000001,315,-3.2,1017,-10.5,,,,,,,
2008,1,2,6,30,0,0,0,0.6000000000000001,316,-3.8000000000000003,1018,-11.3,,,,,,,
2008,1,2,7,30,0,0,0,0.7000000000000001,317,-3.7,1018,-11.700000000000001,,,,,,,
2008,1,2,8,30,132,36,658,0.9,321,-2.7,1019,-12.100000000000001,,,,,,,
2008,1,2,9,30,327,52,878,1,325,-1.5,1019,-13.100000000000001,,,,,,,
2008,1,2,10,30,492,59,972,1,326,-0.4,1020,-13.4,,,,,,,
2008,1,2,11,30,605,62,1015,1,325,0.6000000000000001,1019,-13.3,,,,,,,
2008,1,2,12,30,654,64,1031,1,325,1.4000000000000001,1018,-13,,,,,,,
2008,1,2,13,30,635,63,1026,1,324,1.9000000000000001,1018,-12.700000000000001,,,,,,,
2008,1,2,14,30,549,59,998,1,324,1.9000000000000001,1018,-12.3,,,,,,,
2008,1,2,15,30,399,54,917,0.9,325,1.4000000000000001,1019,-12,,,,,,,
2008,1,2,16,30,216,43,776,0.7000000000000001,325,0,1020,-11.600000000000001,,,,,,,
2008,1,2,17,30,33,17,379,0.5,325,-1.7000000000000002,1021,-10.5,,,,,,,
2008,1,2,18,30,0,0,0,0.5,326,-2.4000000000000004,1021,-9.9,,,,,,,
2008,1,2,19,30,0,0,0,0.4,324,-3.8000000000000003,1022,-9.8,,,,,,,
2008,1,2,20,30,0,0,0,0.4,318,-4.6000000000000005,1023,-9.5,,,,,,,
2008,1,2,21,30,0,0,0,0.4,315,-5.1000000000000005,1023,-9.5,,,,,,,
2008,1,2,22,30,0,0,0,0.4,316,-5.5,1023,-9.600000000000001,,,,,,,
2008,1,2,23,30,0,0,0,0.4,317,-5.800000000000001,1023,-9.600000000000001,,,,,,,
2008,1,3,0,30,0,0,0,0.4,320,-6.1000000000000005,1024,-9.600000000000001,,,,,,,
2008,1,3,1,30,0,0,0,0.4,324,-6.2,1024,-9.600000000000001,,,,,,,
2008,1,3,2,30,0,0,0,0.4,329,-6.4,1024,-9.600000000000001,,,,,,,
2008,1,3,3,30,0,0,0,0.4,334,-6.5,1024,-9.600000000000001,,,,,,,
2008,1,3,4,30,0,0,0,0.30000000000000004,339,-6.5,1024,-9.600000000000001,,,,,,,
2008,1,3,5,30,0,0,0,0.30000000000000004,342,-6.6000000000000005,1025,-9.5,,,,,,,
2008,1,3,6,30,0,0,0,0.30000000000000004,342,-6.6000000000000005,1025,-9.4,,,,,,,
2008,1,3,7,30,0,0,0,0.4,172,-5.800000000000001,1026,-9.3,,,,,,,
2008,1,3,8,30,130,35,651,0.5,20,-3.6,1026,-9.700000000000001,,,,,,,
2008,1,3,9,30,322,52,862,0.5,46,-0.9,1026,-9.8,,,,,,,
2008,1,3,10,30,486,61,953,0.5,62,1.6,1026,-9.4,,,,,,,
2008,1,3,11,30,598,66,996,0.4,69,3.6,1026,-8.9,,,,,,,
2008,1,3,12,30,641,67,1000,0.30000000000000004,67,4.9,1025,-9,,,,,,,
2008,1,3,13,30,623,68,993,0.30000000000000004,62,5.4,1024,-9,,,,,,,
2008,1,3,14,30,539,65,961,0.30000000000000004,60,5.300000000000001,1024,-8.8,,,,,,,
2008,1,3,15,30,397,60,891,0.30000000000000004,65,4.3,1024,-8.4,,,,,,,
2008,1,3,16,30,215,48,741,0.6000000000000001,78,2.3000000000000003,1024,-4.3,,,,,,,
2008,1,3,17,30,34,19,330,1,93,0.2,1024,-6.7,,,,,,,
2008,1,3,18,30,0,0,0,1.1,100,-0.6000000000000001,1025,-7.800000000000001,,,,,,,
2008,1,3,19,30,0,0,0,0.9,116,-2.7,1025,-7.6000000000000005,,,,,,,
2008,1,3,20,30,0,0,0,0.6000000000000001,121,-3.7,1025,-7.1000000000000005,,,,,,,
2008,1,3,21,30,0,0,0,0.30000000000000004,123,-4.1000000000000005,1025,-6.9,,,,,,,
2008,1,3,22,30,0,0,0,0.30000000000000004,122,-4.3,1025,-7,,,,,,,
2008,1,3,23,30,0,0,0,0.30000000000000004,121,-4.4,1024,-7.1000000000000005,,,,,,,
2008,1,4,0,30,0,0,0,0.30000000000000004,118,-4.4,1024,-7.1000000000000005,,,,,,,
2008,1,4,1,30,0,0,0,0.30000000000000004,115,-4.3,1024,-7,,,,,,,
2008,1,4,2,30,0,0,0,0.30000000000000004,112,-4.2,1024,-6.9,,,,,,,
2008,1,4,3,30,0,0,0,0.30000000000000004,108,-4.1000000000000005,1023,-6.7,,,,,,,
2008,1,4,4,30,0,0,0,0.30000000000000004,105,-4.1000000000000005,1023,-6.6000000000000005,,,,,,,
2008,1,4,5,30,0,0,0,0.2,99,-4,1024,-6.5,,,,,,,
2008,1,4,6,30,0,0,0,0.2,90,-4,1024,-6.5,,,,,,,
2008,1,4,7,30,0,0,0,0.30000000000000004,79,-3.2,1025,-6.4,,,,,,,
2008,1,4,8,30,123,37,589,0.30000000000000004,76,-1.2000000000000002,1025,-7.1000000000000005,,,,,,,
