Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Dew Point Units,DHI Units,DNI Units,GHI Units,Temperature Units,Pressure Units,Wind Direction Units,Wind Speed Units,Surface Albedo Units,Version
NSRDB,1012516,-,-,-,33.77,-82.38,-5,140,-5,c,w/m2,w/m2,w/m2,c,mbar,Degrees,m/s,N/A,3.2.4
Year,Month,Day,Hour,Minute,GHI,DHI,DNI,Wind Speed,Wind Direction,Temperature,Pressure,Dew Point,,,,,,,
2008,1,1,0,30,0,0,0,0.5,229,3.9000000000000004,1001,3.9000000000000004,,,,,,,
2008,1,1,1,30,0,0,0,0.5,239,3.7,1001,3.7,,,,,,,
2008,1,1,2,30,0,0,0,0.5,249,3.9000000000000004,1001,3.9000000000000004,,,,,,,
2008,1,1,3,30,0,0,0,0.5,259,4.1000000000000005,1001,4.1000000000000005,,,,,,,
2008,1,1,4,30,0,0,0,0.6000000000000001,268,4.2,1001,4.2,,,,,,,
2008,1,1,5,30,0,0,0,0.6000000000000001,274,4.2,1001,4.2,,,,,,,
2008,1,1,6,30,0,0,0,0.6000000000000001,279,4.2,1002,4.2,,,,,,,
2008,1,1,7,30,0,0,0,0.8,285,4.6000000000000005,1002,4,,,,,,,
2008,1,1,8,30,134,40,595,1.1,291,6,1003,3.6,,,,,,,
2008,1,1,9,30,316,55,823,1.3,295,7.6000000000000005,1004,2.2,,,,,,,
2008,1,1,10,30,470,60,930,1.4000000000000001,294,8.8,1004,-0.1,,,,,,,
2008,1,1,11,30,573,62,983,1.5,292,9.4,1004,-2,,,,,,,
2008,1,1,12,30,604,62,987,1.5,290,9.600000000000001,1003,-3.1,,,,,,,
2008,1,1,13,30,574,61,977,1.5,289,9.5,1003,-3.4000000000000004,,,,,,,
2008,1,1,14,30,482,58,940,1.5,291,9,1003,-3.6,,,,,,,
2008,1,1,15,30,337,51,862,1.4000000000000001,292,8,1004,-3.8000000000000003,,,,,,,
2008,1,1,16,30,160,37,698,1.2000000000000002,292,6.4,1005,-3.9000000000000004,,,,,,,
2008,1,1,17,30,0,0,0,1,291,4.800000000000001,1005,-3.7,,,,,,,
2008,1,1,18,30,0,0,0,1,291,4.1000000000000005,1006,-3.8000000000000003,,,,,,,
2008,1,1,19,30,0,0,0,1,290,3,1007,-3.9000000000000004,,,,,,,
2008,1,1,20,30,0,0,0,1,288,2.4000000000000004,1007,-4,,,,,,,
2008,1,1,21,30,0,0,0,1,287,2.1,1007,-4.1000000000000005,,,,,,,
2008,1,1,22,30,0,0,0,1.1,288,1.7000000000000002,1007,-4.2,,,,,,,
2008,1,1,23,30,0,0,0,1.1,290,1.3,1007,-4.3,,,,,,,
