Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Dew Point Units,DHI Units,DNI Units,GHI Units,Temperature Units,Pressure Units,Wind Direction Units,Wind Speed Units,Surface Albedo Units,Version
NSRDB,821014,-,-,-,42.85,-91.22,-6,303,-6,c,w/m2,w/m2,w/m2,c,mbar,Degrees,m/s,N/A,3.2.4
Year,Month,Day,Hour,Minute,GHI,DHI,DNI,Wind Speed,Wind Direction,Temperature,Pressure,Dew Point,,,,,,,
2004,1,1,0,30,0,0,0,2.4000000000000004,109,-7.6000000000000005,987,-11.200000000000001,,,,,,,
2004,1,1,1,30,0,0,0,2.9000000000000004,114,-7.2,987,-10.9,,,,,,,
2004,1,1,2,30,0,0,0,3.1,116,-7.1000000000000005,987,-10.600000000000001,,,,,,,
2004,1,1,3,30,0,0,0,3.5,116,-7,986,-10.3,,,,,,,
2004,1,1,4,30,0,0,0,4,115,-6.9,985,-9.9,,,,,,,
2004,1,1,5,30,0,0,0,4.4,115,-6.7,984,-9.5,,,,,,,
2004,1,1,6,30,0,0,0,4.7,117,-6.300000000000001,983,-8.9,,,,,,,
2004,1,1,7,30,0,0,0,5.300000000000001,124,-5.4,982,-8.3,,,,,,,
2004,1,1,8,30,14,14,0,6,134,-3.8000000000000003,981,-7.300000000000001,,,,,,,
2004,1,1,9,30,61,61,0,6.2,142,-1.8,980,-5.7,,,,,,,
2004,1,1,10,30,230,138,265,5.9,149,0.2,979,-3.8000000000000003,,,,,,,
2004,1,1,11,30,33,33,0,5.4,153,1.6,977,-1.9000000000000001,,,,,,,
2004,1,1,12,30,182,164,43,5.1000000000000005,160,2.2,975,-0.4,,,,,,,
2004,1,1,13,30,28,28,0,4.9,172,2.6,974,0.8,,,,,,,
2004,1,1,14,30,37,37,0,4.3,186,2.9000000000000004,973,1.9000000000000001,,,,,,,
2004,1,1,15,30,15,15,0,3.8000000000000003,205,3.1,973,3,,,,,,,
2004,1,1,16,30,14,13,83,3.8000000000000003,227,3.2,973,3.2,,,,,,,
2004,1,1,17,30,0,0,0,3.9000000000000004,239,3.2,973,3.2,,,,,,,
2004,1,1,18,30,0,0,0,3.6,252,2,974,2,,,,,,,
2004,1,1,19,30,0,0,0,3.3000000000000003,253,1.1,975,1.1,,,,,,,
2004,1,1,20,30,0,0,0,3.1,251,0.2,975,0.2,,,,,,,
2004,1,1,21,30,0,0,0,3,250,-0.4,975,-0.4,,,,,,,
2004,1,1,22,30,0,0,0,3.1,252,-0.7000000000000001,976,-0.8,,,,,,,
2004,1,1,23,30,0,0,0,2.9000000000000004,255,-1,976,-1.1,,,,,,,
2004,1,2,0,30,0,0,0,2.4000000000000004,252,-1.2000000000000002,976,-1.5,,,,,,,
2004,1,2,1,30,0,0,0,1.9000000000000001,241,-1.3,976,-1.7000000000000002,,,,,,,
2004,1,2,2,30,0,0,0,1.5,228,-1.5,976,-1.8,,,,,,,
2004,1,2,3,30,0,0,0,1.2000000000000002,209,-1.7000000000000002,975,-1.9000000000000001,,,,,,,
2004,1,2,4,30,0,0,0,1.4000000000000001,180,-1.9000000000000001,975,-2.1,,,,,,,
2004,1,2,5,30,0,0,0,2.1,156,-2,975,-2.3000000000000003,,,,,,,
2004,1,2,6,30,0,0,0,3,144,-2,974,-2.4000000000000004,,,,,,,
2004,1,2,7,30,0,0,0,3.6,138,-1.6,974,-2.4000000000000004,,,,,,,
2004,1,2,8,30,42,42,0,4.1000000000000005,133,-0.5,973,-2,,,,,,,
2004,1,2,9,30,145,100,174,4.3,128,0.8,972,-1.2000000000000002,,,,,,,
2004,1,2,10,30,59,59,0,4.4,127,2,971,-0.5,,,,,,,
