Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Dew Point Units,DHI Units,DNI Units,GHI Units,Temperature Units,Pressure Units,Wind Direction Units,Wind Speed Units,Surface Albedo Units,Version
NSRDB,816582,-,-,-,42.45,-91.42,-6,299,-6,c,w/m2,w/m2,w/m2,c,mbar,Degrees,m/s,N/A,3.2.4
Year,Month,Day,Hour,Minute,GHI,DHI,DNI,Wind Speed,Wind Direction,Temperature,Pressure,Dew Point,,,,,,,
2001,1,1,0,30,0,0,0,1.5,77,-12.600000000000001,993,-13.8,,,,,,,
2001,1,1,1,30,0,0,0,1.5,73,-12.9,993,-14.100000000000001,,,,,,,
2001,1,1,2,30,0,0,0,1.5,68,-13.3,994,-14.5,,,,,,,
2001,1,1,3,30,0,0,0,1.5,61,-13.8,994,-15,,,,,,,
2001,1,1,4,30,0,0,0,1.5,53,-14.200000000000001,994,-15.600000000000001,,,,,,,
2001,1,1,5,30,0,0,0,1.6,46,-14.600000000000001,995,-16.1,,,,,,,
2001,1,1,6,30,0,0,0,1.8,41,-14.8,995,-16.400000000000002,,,,,,,
2001,1,1,7,30,0,0,0,2.1,37,-14.5,996,-16.5,,,,,,,
2001,1,1,8,30,51,46,40,2.6,33,-13.4,996,-15.8,,,,,,,
2001,1,1,9,30,253,64,730,2.6,28,-11.700000000000001,997,-14.200000000000001,,,,,,,
2001,1,1,10,30,370,76,830,2.3000000000000003,25,-9.8,997,-12.4,,,,,,,
2001,1,1,11,30,437,81,876,2.1,17,-8.4,997,-10.9,,,,,,,
2001,1,1,12,30,178,164,34,2,180,-7.800000000000001,997,-10.3,,,,,,,
2001,1,1,13,30,135,133,5,2,344,-7.6000000000000005,997,-10,,,,,,,
2001,1,1,14,30,301,65,803,2,334,-7.7,997,-10,,,,,,,
2001,1,1,15,30,160,47,648,1.4000000000000001,328,-8.700000000000001,997,-10.100000000000001,,,,,,,
2001,1,1,16,30,22,15,241,1.1,325,-10.5,998,-11.200000000000001,,,,,,,
2001,1,1,17,30,0,0,0,1.2000000000000002,324,-11.5,998,-13.4,,,,,,,
2001,1,1,18,30,0,0,0,1.3,326,-13.200000000000001,999,-14.600000000000001,,,,,,,
2001,1,1,19,30,0,0,0,1.3,328,-13.8,999,-15.3,,,,,,,
2001,1,1,20,30,0,0,0,1.3,327,-14,1000,-15.600000000000001,,,,,,,
2001,1,1,21,30,0,0,0,1.3,324,-14,1000,-15.700000000000001,,,,,,,
2001,1,1,22,30,0,0,0,1.3,315,-14.200000000000001,1000,-15.700000000000001,,,,,,,
2001,1,1,23,30,0,0,0,1.3,302,-14.8,1000,-15.9,,,,,,,
2001,1,2,0,30,0,0,0,1.4000000000000001,292,-15.700000000000001,1000,-16.400000000000002,,,,,,,
2001,1,2,1,30,0,0,0,1.5,289,-16.7,1000,-17.3,,,,,,,
