Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Dew Point Units,DHI Units,DNI Units,GHI Units,Temperature Units,Pressure Units,Wind Direction Units,Wind Speed Units,Surface Albedo Units,Version
NSRDB,836586,-,-,-,42.45,-90.54,-6,241,-6,c,w/m2,w/m2,w/m2,c,mbar,Degrees,m/s,N/A,3.2.4
Year,Month,Day,Hour,Minute,GHI,DHI,DNI,Wind Speed,Wind Direction,Temperature,Pressure,Dew Point,,,,,,,
2008,1,1,0,30,0,0,0,5.300000000000001,313,-10.4,988,-11.8,,,,,,,
2008,1,1,1,30,0,0,0,4.800000000000001,310,-11.200000000000001,988,-12.8,,,,,,,
2008,1,1,2,30,0,0,0,4.7,307,-11.8,989,-13.5,,,,,,,
2008,1,1,3,30,0,0,0,4.6000000000000005,306,-12.100000000000001,990,-14.100000000000001,,,,,,,
2008,1,1,4,30,0,0,0,4.5,306,-12.200000000000001,991,-14.3,,,,,,,
2008,1,1,5,30,0,0,0,4.5,308,-11.9,991,-14.200000000000001,,,,,,,
2008,1,1,6,30,0,0,0,4.5,309,-11.700000000000001,992,-13.9,,,,,,,
2008,1,1,7,30,0,0,0,4.7,311,-11.700000000000001,992,-13.8,,,,,,,
2008,1,1,8,30,54,49,32,5.300000000000001,314,-11.700000000000001,993,-13.8,,,,,,,
2008,1,1,9,30,164,100,243,6,317,-11.8,994,-14.100000000000001,,,,,,,
2008,1,1,10,30,145,137,24,6.4,316,-12.100000000000001,995,-14.600000000000001,,,,,,,
2008,1,1,11,30,214,175,97,6.7,314,-12.4,995,-15,,,,,,,
2008,1,1,12,30,210,176,84,6.9,313,-12.8,996,-15.4,,,,,,,
2008,1,1,13,30,394,88,825,7,313,-13.3,997,-16,,,,,,,
2008,1,1,14,30,289,72,756,6.800000000000001,313,-13.8,998,-16.6,,,,,,,
2008,1,1,15,30,147,48,601,6.300000000000001,312,-14.3,999,-17.1,,,,,,,
2008,1,1,16,30,16,13,188,5.800000000000001,311,-14.9,1000,-17.6,,,,,,,
2008,1,1,17,30,0,0,0,5.6000000000000005,311,-15.200000000000001,1000,-18.1,,,,,,,
2008,1,1,18,30,0,0,0,4.800000000000001,309,-15.9,1000,-18.400000000000002,,,,,,,
2008,1,1,19,30,0,0,0,4.5,308,-16.3,1001,-18.7,,,,,,,
2008,1,1,20,30,0,0,0,4.5,309,-16.6,1001,-19.1,,,,,,,
2008,1,1,21,30,0,0,0,4.4,311,-17,1001,-19.3,,,,,,,
2008,1,1,22,30,0,0,0,4.4,314,-17.3,1002,-19.6,,,,,,,
2008,1,1,23,30,0,0,0,4.6000000000000005,316,-17.6,1002,-19.900000000000002,,,,,,,
2008,1,2,0,30,0,0,0,4.5,316,-17.900000000000002,1002,-20.200000000000003,,,,,,,
2008,1,2,1,30,0,0,0,4.5,314,-18.2,1003,-20.5,,,,,,,
2008,1,2,2,30,0,0,0,4.5,315,-18.6,1004,-20.900000000000002,,,,,,,
2008,1,2,3,30,0,0,0,4.5,317,-19,1004,-21.400000000000002,,,,,,,
2008,1,2,4,30,0,0,0,4.4,317,-19.3,1005,-21.8,,,,,,,
2008,1,2,5,30,0,0,0,4.4,317,-19.700000000000003,1006,-22.200000000000003,,,,,,,
2008,1,2,6,30,0,0,0,4.4,320,-20,1007,-22.6,,,,,,,
2008,1,2,7,30,0,0,0,4.5,326,-19.900000000000002,1007,-22.900000000000002,,,,,,,
2008,1,2,8,30,121,39,593,4.7,330,-19.200000000000003,1008,-22.5,,,,,,,
2008,1,2,9,30,269,58,791,4.7,330,-17.900000000000002,1009,-21.400000000000002,,,,,,,
2008,1,2,10,30,384,69,881,4.5,327,-16.7,1010,-19.900000000000002,,,,,,,
2008,1,2,11,30,448,73,919,4.3,319,-15.700000000000001,1009,-18.6,,,,,,,
2008,1,2,12,30,455,71,927,4.2,313,-14.9,1009,-17.5,,,,,,,
2008,1,2,13,30,402,65,906,4.1000000000000005,310,-14.5,1009,-16.900000000000002,,,,,,,
2008,1,2,14,30,297,54,842,3.8000000000000003,310,-14.4,1010,-16.6,,,,,,,
2008,1,2,15,30,155,39,695,2.9000000000000004,312,-14.9,1010,-16.7,,,,,,,
2008,1,2,16,30,18,12,287,2,316,-16.3,1010,-17.7,,,,,,,
2008,1,2,17,30,0,0,0,1.7000000000000002,319,-17.2,1011,-19.5,,,,,,,
2008,1,2,18,30,0,0,0,1.5,327,-18.3,1011,-20.3,,,,,,,
2008,1,2,19,30,0,0,0,1.3,324,-18.400000000000002,1010,-20.400000000000002,,,,,,,
2008,1,2,20,30,0,0,0,1.2000000000000002,314,-18.2,1010,-20.1,,,,,,,
2008,1,2,21,30,0,0,0,1.1,296,-18.2,1010,-19.900000000000002,,,,,,,
2008,1,2,22,30,0,0,0,1.1,272,-18.400000000000002,1010,-19.8,,,,,,,
2008,1,2,23,30,0,0,0,1.2000000000000002,250,-19,1009,-20.3,,,,,,,
2008,1,3,0,30,0,0,0,1.2000000000000002,237,-19.8,1009,-21.3,,,,,,,
2008,1,3,1,30,0,0,0,1.2000000000000002,229,-20.400000000000002,1008,-22.3,,,,,,,
2008,1,3,2,30,0,0,0,1.3,220,-20.6,1008,-22.900000000000002,,,,,,,
2008,1,3,3,30,0,0,0,1.8,210,-20.5,1008,-23,,,,,,,
2008,1,3,4,30,0,0,0,2.4000000000000004,202,-20.200000000000003,1007,-22.8,,,,,,,
2008,1,3,5,30,0,0,0,3,193,-19.900000000000002,1006,-22.5,,,,,,,
2008,1,3,6,30,0,0,0,3.4000000000000004,184,-19.400000000000002,1006,-22.1,,,,,,,
2008,1,3,7,30,0,0,0,4.1000000000000005,178,-18.400000000000002,1005,-21.5,,,,,,,
2008,1,3,8,30,57,50,49,5,176,-16.5,1005,-19.900000000000002,,,,,,,
2008,1,3,9,30,148,105,161,5.7,178,-14,1004,-17.3,,,,,,,
2008,1,3,10,30,188,151,103,6.300000000000001,183,-11.100000000000001,1003,-14.5,,,,,,,
2008,1,3,11,30,320,141,436,6.800000000000001,186,-8.5,1001,-11.700000000000001,,,,,,,
2008,1,3,12,30,292,165,305,6.9,189,-6.6000000000000005,1000,-9.600000000000001,,,,,,,
2008,1,3,13,30,395,68,872,6.800000000000001,190,-5.4,998,-8.200000000000001,,,,,,,
2008,1,3,14,30,292,59,802,6.7,190,-5,997,-7.300000000000001,,,,,,,
2008,1,3,15,30,152,43,644,6.4,190,-5.300000000000001,996,-7.300000000000001,,,,,,,
2008,1,3,16,30,7,7,0,6,189,-6.2,996,-8,,,,,,,
2008,1,3,17,30,0,0,0,5.7,189,-6.7,996,-8.9,,,,,,,
2008,1,3,18,30,0,0,0,5.6000000000000005,191,-7.6000000000000005,996,-9.700000000000001,,,,,,,
2008,1,3,19,30,0,0,0,5.300000000000001,192,-8.1,995,-10.200000000000001,,,,,,,
2008,1,3,20,30,0,0,0,5,192,-8.4,995,-10.700000000000001,,,,,,,
2008,1,3,21,30,0,0,0,4.7,191,-8.700000000000001,995,-11,,,,,,,
2008,1,3,22,30,0,0,0,4.6000000000000005,189,-8.9,994,-11.200000000000001,,,,,,,
2008,1,3,23,30,0,0,0,4.7,190,-8.9,994,-11.100000000000001,,,,,,,
2008,1,4,0,30,0,0,0,4.7,190,-8.9,993,-11,,,,,,,
2008,1,4,1,30,0,0,0,4.6000000000000005,190,-8.8,993,-10.9,,,,,,,
2008,1,4,2,30,0,0,0,4.5,191,-8.700000000000001,993,-10.700000000000001,,,,,,,
2008,1,4,3,30,0,0,0,4.4,192,-8.5,992,-10.5,,,,,,,
2008,1,4,4,30,0,0,0,4.3,192,-8.200000000000001,992,-10.200000000000001,,,,,,,
2008,1,4,5,30,0,0,0,4.3,191,-7.9,991,-9.9,,,,,,,
2008,1,4,6,30,0,0,0,4.3,189,-7.7,991,-9.600000000000001,,,,,,,
