Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Dew Point Units,DHI Units,DNI Units,GHI Units,Temperature Units,Pressure Units,Wind Direction Units,Wind Speed Units,Surface Albedo Units,Version
NSRDB,863929,-,-,-,39.41,-89.38,-6,192,-6,c,w/m2,w/m2,w/m2,c,mbar,Degrees,m/s,N/A,3.2.4
Year,Month,Day,Hour,Minute,GHI,DHI,DNI,Wind Speed,Wind Direction,Temperature,Pressure,Dew Point,,,,,,,
2001,1,1,0,30,0,0,0,1.4000000000000001,312,-11.700000000000001,1006,-13.5,,,,,,,
2001,1,1,1,30,0,0,0,1.4000000000000001,315,-11.8,1006,-13.600000000000001,,,,,,,
2001,1,1,2,30,0,0,0,1.3,318,-12.100000000000001,1006,-13.8,,,,,,,
2001,1,1,3,30,0,0,0,1.3,319,-12.4,1006,-14.200000000000001,,,,,,,
2001,1,1,4,30,0,0,0,1.4000000000000001,318,-12.700000000000001,1007,-14.5,,,,,,,
2001,1,1,5,30,0,0,0,1.4000000000000001,316,-13.100000000000001,1007,-14.9,,,,,,,
2001,1,1,6,30,0,0,0,1.5,313,-13.4,1008,-15.3,,,,,,,
2001,1,1,7,30,18,15,91,1.8,311,-13.200000000000001,1008,-15.600000000000001,,,,,,,
2001,1,1,8,30,34,34,0,2.6,311,-12.100000000000001,1009,-14.8,,,,,,,
2001,1,1,9,30,108,108,0,3,313,-11,1009,-14.100000000000001,,,,,,,
2001,1,1,10,30,169,158,27,3,315,-10.200000000000001,1009,-13.600000000000001,,,,,,,
2001,1,1,11,30,493,114,827,2.9000000000000004,317,-9.4,1009,-12.8,,,,,,,
2001,1,1,12,30,495,112,836,2.9000000000000004,317,-8.8,1009,-12.200000000000001,,,,,,,
2001,1,1,13,30,436,101,812,2.9000000000000004,318,-8.5,1009,-11.700000000000001,,,,,,,
2001,1,1,14,30,322,84,742,2.8000000000000003,319,-8.6,1009,-11.600000000000001,,,,,,,
2001,1,1,15,30,170,59,582,2.2,318,-9.600000000000001,1010,-11.600000000000001,,,,,,,
2001,1,1,16,30,24,17,179,1.7000000000000002,317,-11.3,1010,-12.700000000000001,,,,,,,
2001,1,1,17,30,0,0,0,1.6,317,-12.3,1011,-14.5,,,,,,,
2001,1,1,18,30,0,0,0,1.8,320,-13.600000000000001,1011,-15.4,,,,,,,
2001,1,1,19,30,0,0,0,1.9000000000000001,322,-14.100000000000001,1012,-15.8,,,,,,,
2001,1,1,20,30,0,0,0,2,322,-14.4,1012,-16.1,,,,,,,
2001,1,1,21,30,0,0,0,2.2,322,-14.600000000000001,1013,-16.2,,,,,,,
2001,1,1,22,30,0,0,0,2.3000000000000003,321,-14.8,1013,-16.3,,,,,,,
2001,1,1,23,30,0,0,0,2.4000000000000004,322,-14.9,1013,-16.400000000000002,,,,,,,
2001,1,2,0,30,0,0,0,2.3000000000000003,321,-15.100000000000001,1014,-16.5,,,,,,,
2001,1,2,1,30,0,0,0,2,318,-15.5,1014,-16.8,,,,,,,
2001,1,2,2,30,0,0,0,1.8,313,-16.1,1014,-17.5,,,,,,,
2001,1,2,3,30,0,0,0,1.7000000000000002,310,-16.6,1014,-18.2,,,,,,,
2001,1,2,4,30,0,0,0,1.7000000000000002,311,-16.8,1014,-18.6,,,,,,,
2001,1,2,5,30,0,0,0,1.7000000000000002,314,-16.8,1015,-18.6,,,,,,,
2001,1,2,6,30,0,0,0,1.7000000000000002,316,-16.8,1016,-18.7,,,,,,,
2001,1,2,7,30,11,11,0,2,315,-16.1,1017,-18.8,,,,,,,
2001,1,2,8,30,36,36,0,2.3000000000000003,308,-14.3,1017,-17.3,,,,,,,
2001,1,2,9,30,329,74,808,2.1,300,-12.100000000000001,1018,-15.3,,,,,,,
2001,1,2,10,30,449,85,891,1.7000000000000002,287,-9.700000000000001,1017,-12.9,,,,,,,
2001,1,2,11,30,514,88,929,1.6,264,-7.9,1016,-11,,,,,,,
2001,1,2,12,30,517,86,936,1.8,247,-6.9,1015,-10,,,,,,,
2001,1,2,13,30,456,80,910,2.1,243,-6.4,1014,-9.4,,,,,,,
2001,1,2,14,30,341,68,846,1.9000000000000001,244,-6.800000000000001,1014,-9.200000000000001,,,,,,,
2001,1,2,15,30,184,49,698,1.5,244,-8.9,1014,-9.5,,,,,,,
2001,1,2,16,30,28,17,307,1.5,243,-11.9,1014,-12.600000000000001,,,,,,,
2001,1,2,17,30,0,0,0,1.6,242,-13.3,1014,-15,,,,,,,
2001,1,2,18,30,0,0,0,1.8,234,-15.4,1013,-16,,,,,,,
2001,1,2,19,30,0,0,0,1.9000000000000001,227,-16.5,1013,-16.7,,,,,,,
2001,1,2,20,30,0,0,0,2,222,-17.400000000000002,1012,-17.6,,,,,,,
2001,1,2,21,30,0,0,0,2.2,221,-17.900000000000002,1012,-18.400000000000002,,,,,,,
2001,1,2,22,30,0,0,0,2.3000000000000003,223,-17.8,1011,-18.7,,,,,,,
2001,1,2,23,30,0,0,0,2.4000000000000004,225,-17.6,1010,-18.7,,,,,,,
2001,1,3,0,30,0,0,0,2.4000000000000004,223,-17.400000000000002,1009,-18.6,,,,,,,
2001,1,3,1,30,0,0,0,2.6,222,-17.2,1008,-18.5,,,,,,,
2001,1,3,2,30,0,0,0,2.7,221,-16.8,1007,-18.3,,,,,,,
2001,1,3,3,30,0,0,0,3,221,-16.2,1007,-17.900000000000002,,,,,,,
