Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Dew Point Units,DHI Units,DNI Units,GHI Units,Temperature Units,Pressure Units,Wind Direction Units,Wind Speed Units,Surface Albedo Units,Version
NSRDB,901751,-,-,-,40.29,-87.7,-6,210,-6,c,w/m2,w/m2,w/m2,c,mbar,Degrees,m/s,N/A,3.2.4
Year,Month,Day,Hour,Minute,GHI,DHI,DNI,Wind Speed,Wind Direction,Temperature,Pressure,Dew Point,,,,,,,
2000,1,1,0,30,0,0,0,3.1,198,-1.2000000000000002,993,-1.2000000000000002,,,,,,,
2000,1,1,1,30,0,0,0,3.2,197,-1.4000000000000001,993,-1.5,,,,,,,
2000,1,1,2,30,0,0,0,3.1,197,-1.6,993,-1.8,,,,,,,
2000,1,1,3,30,0,0,0,3,197,-1.7000000000000002,993,-2.1,,,,,,,
2000,1,1,4,30,0,0,0,2.8000000000000003,197,-1.8,993,-2.4000000000000004,,,,,,,
2000,1,1,5,30,0,0,0,2.7,197,-1.9000000000000001,993,-2.6,,,,,,,
2000,1,1,6,30,0,0,0,2.7,195,-1.6,993,-2.6,,,,,,,
2000,1,1,7,30,27,15,323,3.1,194,-0.4,993,-2.3000000000000003,,,,,,,
2000,1,1,8,30,171,38,698,3.3000000000000003,193,1.4000000000000001,993,-1.6,,,,,,,
2000,1,1,9,30,206,121,270,3,190,3.4000000000000004,993,-0.7000000000000001,,,,,,,
2000,1,1,10,30,289,156,332,2.9000000000000004,187,5.5,993,0.4,,,,,,,
2000,1,1,11,30,340,168,384,2.8000000000000003,185,7.5,992,1.5,,,,,,,
2000,1,1,12,30,465,64,909,2.7,181,8.700000000000001,991,2.7,,,,,,,
2000,1,1,13,30,288,143,373,2.1,176,7.800000000000001,990,3.6,,,,,,,
2000,1,1,14,30,283,57,768,1.7000000000000002,174,5.6000000000000005,990,4,,,,,,,
2000,1,1,15,30,104,52,321,2,174,4,990,3.3000000000000003,,,,,,,
2000,1,1,16,30,0,0,0,2.4000000000000004,176,3.7,990,3.4000000000000004,,,,,,,
2000,1,1,17,30,0,0,0,2.7,178,3.8000000000000003,990,3.8000000000000003,,,,,,,
2000,1,1,18,30,0,0,0,3.6,184,4.5,990,4.5,,,,,,,
2000,1,1,19,30,0,0,0,4,185,4.800000000000001,989,4.800000000000001,,,,,,,
2000,1,1,20,30,0,0,0,4.3,182,5.300000000000001,988,5.300000000000001,,,,,,,
2000,1,1,21,30,0,0,0,4.6000000000000005,180,5.9,987,5.9,,,,,,,
2000,1,1,22,30,0,0,0,4.800000000000001,178,6.1000000000000005,987,6.1000000000000005,,,,,,,
2000,1,1,23,30,0,0,0,4.7,179,6.1000000000000005,986,6.1000000000000005,,,,,,,
2000,1,2,0,30,0,0,0,4.5,182,5.9,986,5.9,,,,,,,
2000,1,2,1,30,0,0,0,4.9,187,5.9,986,5.9,,,,,,,
2000,1,2,2,30,0,0,0,5.6000000000000005,189,6.1000000000000005,985,6.1000000000000005,,,,,,,
2000,1,2,3,30,0,0,0,5.9,188,6.2,984,6.2,,,,,,,
2000,1,2,4,30,0,0,0,6,190,6.300000000000001,983,6.300000000000001,,,,,,,
2000,1,2,5,30,0,0,0,6.1000000000000005,193,6.6000000000000005,983,6.6000000000000005,,,,,,,
2000,1,2,6,30,0,0,0,6.300000000000001,194,7.1000000000000005,983,7.1000000000000005,,,,,,,
2000,1,2,7,30,6,6,0,6.800000000000001,195,8.3,982,7.7,,,,,,,
2000,1,2,8,30,102,71,165,7.1000000000000005,195,9.9,982,8.8,,,,,,,
2000,1,2,9,30,160,130,96,7.6000000000000005,197,11.700000000000001,982,9.700000000000001,,,,,,,
2000,1,2,10,30,57,57,0,8.3,206,13.700000000000001,981,10.8,,,,,,,
2000,1,2,11,30,254,198,127,8.5,214,14.9,981,11.700000000000001,,,,,,,
2000,1,2,12,30,69,69,0,8.3,218,14.9,981,12,,,,,,,
2000,1,2,13,30,297,139,404,8,221,14.4,981,12,,,,,,,
2000,1,2,14,30,194,111,279,7.5,225,13.700000000000001,981,11.700000000000001,,,,,,,
2000,1,2,15,30,62,59,18,6.800000000000001,233,12.600000000000001,982,11.100000000000001,,,,,,,
2000,1,2,16,30,0,0,0,5.7,246,10.9,984,9.8,,,,,,,
2000,1,2,17,30,0,0,0,5.2,253,10,985,7.9,,,,,,,
2000,1,2,18,30,0,0,0,3.3000000000000003,271,5.9,987,5.7,,,,,,,
2000,1,2,19,30,0,0,0,2.5,282,3.5,987,3.5,,,,,,,
2000,1,2,20,30,0,0,0,2,293,1.7000000000000002,988,1.7000000000000002,,,,,,,
2000,1,2,21,30,0,0,0,1.7000000000000002,306,0.4,988,0.4,,,,,,,
2000,1,2,22,30,0,0,0,1.4000000000000001,320,-0.30000000000000004,989,-0.30000000000000004,,,,,,,
2000,1,2,23,30,0,0,0,1.6,340,-0.30000000000000004,989,-0.30000000000000004,,,,,,,
2000,1,3,0,30,0,0,0,2.1,185,-0.1,989,-0.1,,,,,,,
2000,1,3,1,30,0,0,0,2.4000000000000004,32,-0.2,988,-0.2,,,,,,,
2000,1,3,2,30,0,0,0,2.1,79,-0.4,989,-0.6000000000000001,,,,,,,
2000,1,3,3,30,0,0,0,1.7000000000000002,92,-0.4,989,-0.7000000000000001,,,,,,,
2000,1,3,4,30,0,0,0,1.7000000000000002,72,-0.30000000000000004,989,-0.6000000000000001,,,,,,,
2000,1,3,5,30,0,0,0,2.4000000000000004,74,-0.2,988,-0.4,,,,,,,
2000,1,3,6,30,0,0,0,3.1,81,0,988,-0.30000000000000004,,,,,,,
2000,1,3,7,30,5,5,0,3.3000000000000003,93,0.5,987,-0.1,,,,,,,
2000,1,3,8,30,4,4,0,3.5,107,1.7000000000000002,987,0.6000000000000001,,,,,,,
2000,1,3,9,30,43,43,0,4,112,3.5,985,2,,,,,,,
2000,1,3,10,30,31,31,0,4.2,106,5.6000000000000005,983,3.6,,,,,,,
2000,1,3,11,30,84,84,0,3.2,225,6.800000000000001,982,5,,,,,,,
2000,1,3,12,30,59,59,0,3.3000000000000003,177,6.4,981,5.4,,,,,,,
2000,1,3,13,30,170,156,35,4.800000000000001,20,5.7,979,4.800000000000001,,,,,,,
2000,1,3,14,30,37,37,0,4.7,43,5.5,978,4.6000000000000005,,,,,,,
2000,1,3,15,30,58,58,0,3.7,57,5.4,977,5,,,,,,,
2000,1,3,16,30,0,0,0,2.6,60,6.2,976,6,,,,,,,
2000,1,3,17,30,0,0,0,2,58,7.1000000000000005,976,7.1000000000000005,,,,,,,
2000,1,3,18,30,0,0,0,4.1000000000000005,312,5.9,976,5.9,,,,,,,
2000,1,3,19,30,0,0,0,4.2,311,4,976,4,,,,,,,
2000,1,3,20,30,0,0,0,3.8000000000000003,302,2.4000000000000004,977,2.4000000000000004,,,,,,,
2000,1,3,21,30,0,0,0,3.9000000000000004,292,1.5,977,1.5,,,,,,,
2000,1,3,22,30,0,0,0,4.3,285,0.9,978,0.9,,,,,,,
2000,1,3,23,30,0,0,0,5.2,282,0.30000000000000004,979,0.30000000000000004,,,,,,,
2000,1,4,0,30,0,0,0,5.9,285,-0.30000000000000004,980,-0.5,,,,,,,
2000,1,4,1,30,0,0,0,6.1000000000000005,287,-1.1,981,-1.4000000000000001,,,,,,,
2000,1,4,2,30,0,0,0,6.1000000000000005,287,-1.7000000000000002,983,-2.2,,,,,,,
2000,1,4,3,30,0,0,0,5.9,286,-2.1,984,-3,,,,,,,
2000,1,4,4,30,0,0,0,5.7,287,-2.5,985,-3.7,,,,,,,
2000,1,4,5,30,0,0,0,5.7,287,-2.8000000000000003,986,-4.4,,,,,,,
2000,1,4,6,30,0,0,0,5.800000000000001,287,-3.1,987,-5.1000000000000005,,,,,,,
2000,1,4,7,30,4,4,0,6.2,289,-2.8000000000000003,988,-5.7,,,,,,,
