Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Dew Point Units,DHI Units,DNI Units,GHI Units,Temperature Units,Pressure Units,Wind Direction Units,Wind Speed Units,Surface Albedo Units,Version
NSRDB,649278,-,-,-,39.45,-98.78,-6,509,-6,c,w/m2,w/m2,w/m2,c,mbar,Degrees,m/s,N/A,3.2.4
Year,Month,Day,Hour,Minute,GHI,DHI,DNI,Wind Speed,Wind Direction,Temperature,Pressure,Dew Point,,,,,,,
2017,1,1,0,30,0,0,0,1.4000000000000001,177,-2.7,952,-8.5,,,,,,,
2017,1,1,1,30,0,0,0,1.5,173,-2.7,952,-8.4,,,,,,,
2017,1,1,2,30,0,0,0,1.6,169,-2.4000000000000004,952,-8.1,,,,,,,
2017,1,1,3,30,0,0,0,1.6,166,-2,952,-7.800000000000001,,,,,,,
2017,1,1,4,30,0,0,0,1.7000000000000002,164,-1.8,951,-7.5,,,,,,,
2017,1,1,5,30,0,0,0,1.8,164,-1.8,951,-7.4,,,,,,,
2017,1,1,6,30,0,0,0,2,164,-1.8,952,-7.2,,,,,,,
2017,1,1,7,30,0,0,0,2.4000000000000004,158,-1.6,952,-7.1000000000000005,,,,,,,
2017,1,1,8,30,32,30,25,3,150,-1.1,952,-7,,,,,,,
2017,1,1,9,30,64,64,0,3.5,147,0.2,952,-6.5,,,,,,,
2017,1,1,10,30,134,130,12,4.3,148,2.2,951,-6,,,,,,,
2017,1,1,11,30,249,191,133,4.800000000000001,147,3.6,950,-5.9,,,,,,,
2017,1,1,12,30,255,206,105,5.2,144,4.9,948,-5.6000000000000005,,,,,,,
2017,1,1,13,30,193,178,33,5.5,143,6.4,947,-4.5,,,,,,,
2017,1,1,14,30,302,127,456,5.1000000000000005,142,7,946,-2.8000000000000003,,,,,,,
2017,1,1,15,30,257,55,734,3.9000000000000004,136,6,946,-1.1,,,,,,,
2017,1,1,16,30,105,36,509,3.5,131,3.9000000000000004,946,-0.1,,,,,,,
2017,1,1,17,30,0,0,0,3.7,129,2.9000000000000004,946,0.30000000000000004,,,,,,,
2017,1,1,18,30,0,0,0,4.2,128,1.5,947,0.7000000000000001,,,,,,,
2017,1,1,19,30,0,0,0,3.8000000000000003,127,0.5,947,0.5,,,,,,,
2017,1,1,20,30,0,0,0,3.5,127,0,947,0,,,,,,,
2017,1,1,21,30,0,0,0,3.2,125,-0.2,947,-0.2,,,,,,,
2017,1,1,22,30,0,0,0,3,122,-0.1,947,-0.1,,,,,,,
2017,1,1,23,30,0,0,0,2.7,120,0.2,947,-0.2,,,,,,,
2017,1,2,0,30,0,0,0,2.4000000000000004,119,0.4,947,0,,,,,,,
2017,1,2,1,30,0,0,0,2.2,116,0.5,946,0.2,,,,,,,
2017,1,2,2,30,0,0,0,2.2,113,0.6000000000000001,946,0.30000000000000004,,,,,,,
2017,1,2,3,30,0,0,0,1.8,112,0.7000000000000001,946,0.5,,,,,,,
2017,1,2,4,30,0,0,0,1.3,107,0.8,946,0.8,,,,,,,
2017,1,2,5,30,0,0,0,1.2000000000000002,95,0.8,946,0.8,,,,,,,
2017,1,2,6,30,0,0,0,1.2000000000000002,80,1,947,1,,,,,,,
2017,1,2,7,30,0,0,0,1.4000000000000001,69,1.3,947,1.3,,,,,,,
2017,1,2,8,30,64,25,443,1.7000000000000002,63,1.9000000000000001,947,1.9000000000000001,,,,,,,
2017,1,2,9,30,217,46,723,1.7000000000000002,58,2.9000000000000004,948,2.2,,,,,,,
2017,1,2,10,30,95,95,0,1.2000000000000002,31,3.9000000000000004,948,2.4000000000000004,,,,,,,
2017,1,2,11,30,125,125,0,1.3,164,4.7,948,2.5,,,,,,,
2017,1,2,12,30,175,169,13,2.1,316,5.5,948,2.3000000000000003,,,,,,,
2017,1,2,13,30,195,180,35,2.7,315,6.1000000000000005,948,2,,,,,,,
2017,1,2,14,30,125,125,0,2.9000000000000004,325,6.2,948,1.7000000000000002,,,,,,,
2017,1,2,15,30,113,106,27,2.3000000000000003,338,4.5,949,1.5,,,,,,,
2017,1,2,16,30,30,30,0,1.7000000000000002,348,1.7000000000000002,950,1.2000000000000002,,,,,,,
2017,1,2,17,30,0,0,0,1.9000000000000001,352,0.4,950,0.4,,,,,,,
2017,1,2,18,30,0,0,0,3.9000000000000004,354,0.9,953,0.9,,,,,,,
2017,1,2,19,30,0,0,0,4.800000000000001,353,0.8,954,0.8,,,,,,,
2017,1,2,20,30,0,0,0,5.5,354,0.4,955,0.30000000000000004,,,,,,,
2017,1,2,21,30,0,0,0,6.2,356,-0.5,956,-1,,,,,,,
2017,1,2,22,30,0,0,0,6.5,355,-1.7000000000000002,956,-4,,,,,,,
2017,1,2,23,30,0,0,0,6.1000000000000005,352,-2.7,957,-7.9,,,,,,,
2017,1,3,0,30,0,0,0,5.9,351,-3.2,958,-10.100000000000001,,,,,,,
2017,1,3,1,30,0,0,0,5.9,351,-3.4000000000000004,958,-11.100000000000001,,,,,,,
2017,1,3,2,30,0,0,0,6.2,350,-3.7,959,-12,,,,,,,
2017,1,3,3,30,0,0,0,6.5,349,-4.2,959,-13.200000000000001,,,,,,,
2017,1,3,4,30,0,0,0,6.5,348,-4.9,959,-14.200000000000001,,,,,,,
2017,1,3,5,30,0,0,0,6.300000000000001,347,-5.6000000000000005,960,-14.700000000000001,,,,,,,
2017,1,3,6,30,0,0,0,6.4,345,-6.2,961,-14.9,,,,,,,
2017,1,3,7,30,0,0,0,6.7,343,-6.7,962,-15.3,,,,,,,
2017,1,3,8,30,38,31,83,7,344,-6.6000000000000005,963,-15.8,,,,,,,
2017,1,3,9,30,223,49,733,7,346,-5.9,964,-16.1,,,,,,,
2017,1,3,10,30,363,61,851,7,348,-4.7,964,-16,,,,,,,
2017,1,3,11,30,459,67,903,7,348,-3.7,964,-15.8,,,,,,,
2017,1,3,12,30,381,164,465,7,349,-3,964,-15.600000000000001,,,,,,,
2017,1,3,13,30,480,67,918,6.7,351,-2.6,964,-15.5,,,,,,,
2017,1,3,14,30,401,63,875,6.300000000000001,353,-2.7,964,-15.4,,,,,,,
2017,1,3,15,30,274,53,788,5.9,356,-3.4000000000000004,964,-15.5,,,,,,,
2017,1,3,16,30,117,36,585,5.2,358,-4.6000000000000005,964,-15.600000000000001,,,,,,,
2017,1,3,17,30,0,0,0,4.7,358,-5.300000000000001,965,-15.600000000000001,,,,,,,
2017,1,3,18,30,0,0,0,4.7,180,-6.5,966,-15.8,,,,,,,
2017,1,3,19,30,0,0,0,4.9,2,-7.2,966,-16.400000000000002,,,,,,,
2017,1,3,20,30,0,0,0,4.9,2,-7.9,967,-17.2,,,,,,,
2017,1,3,21,30,0,0,0,4.7,1,-8.3,967,-17.6,,,,,,,
2017,1,3,22,30,0,0,0,4.4,2,-8.5,967,-17.7,,,,,,,
2017,1,3,23,30,0,0,0,4.3,4,-8.6,967,-17.8,,,,,,,
2017,1,4,0,30,0,0,0,4,6,-8.8,966,-17.900000000000002,,,,,,,
2017,1,4,1,30,0,0,0,3.7,9,-9.1,966,-17.900000000000002,,,,,,,
2017,1,4,2,30,0,0,0,3.3000000000000003,11,-9.600000000000001,966,-18,,,,,,,
2017,1,4,3,30,0,0,0,3.1,7,-10,966,-18.1,,,,,,,
2017,1,4,4,30,0,0,0,2.8000000000000003,3,-10.4,965,-18.2,,,,,,,
2017,1,4,5,30,0,0,0,2.2,6,-10.8,965,-18.2,,,,,,,
2017,1,4,6,30,0,0,0,1.8,10,-11.100000000000001,965,-17.900000000000002,,,,,,,
2017,1,4,7,30,0,0,0,1.6,18,-11.200000000000001,965,-17.6,,,,,,,
2017,1,4,8,30,34,30,41,1.6,32,-10.5,964,-17.8,,,,,,,
2017,1,4,9,30,165,77,370,1.6,51,-9.5,964,-17.8,,,,,,,
2017,1,4,10,30,197,151,128,1.5,79,-8.6,963,-17.6,,,,,,,
2017,1,4,11,30,308,179,296,1.6,99,-7.7,962,-17.2,,,,,,,
2017,1,4,12,30,328,200,273,1.8,98,-6.9,960,-16.7,,,,,,,
2017,1,4,13,30,153,152,3,1.8,87,-6.300000000000001,959,-16.5,,,,,,,
2017,1,4,14,30,325,113,545,1.8,77,-6.2,959,-16.2,,,,,,,
2017,1,4,15,30,116,108,30,1.9000000000000001,75,-6.5,958,-15.8,,,,,,,
2017,1,4,16,30,56,51,34,2.2,70,-7.1000000000000005,958,-15.4,,,,,,,
2017,1,4,17,30,0,0,0,2.4000000000000004,68,-7.5,958,-15,,,,,,,
2017,1,4,18,30,0,0,0,2.8000000000000003,48,-8.200000000000001,958,-14.600000000000001,,,,,,,
2017,1,4,19,30,0,0,0,3.1,41,-8.5,959,-14.4,,,,,,,
