Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Dew Point Units,DHI Units,DNI Units,GHI Units,Temperature Units,Pressure Units,Wind Direction Units,Wind Speed Units,Surface Albedo Units,Version
NSRDB,985555,-,-,-,41.97,-83.66,-5,202,-5,c,w/m2,w/m2,w/m2,c,mbar,Degrees,m/s,N/A,3.2.4
Year,Month,Day,Hour,Minute,GHI,DHI,DNI,Wind Speed,Wind Direction,Temperature,Pressure,Dew Point,,,,,,,
2005,1,1,0,30,0,0,0,2.7,295,-0.5,1000,-0.5,,,,,,,
2005,1,1,1,30,0,0,0,2.4000000000000004,305,-1.5,1000,-2.1,,,,,,,
2005,1,1,2,30,0,0,0,2.2,315,-2.3000000000000003,1001,-3.3000000000000003,,,,,,,
2005,1,1,3,30,0,0,0,2.1,326,-2.9000000000000004,1002,-4.2,,,,,,,
2005,1,1,4,30,0,0,0,2,335,-3.2,1003,-4.800000000000001,,,,,,,
2005,1,1,5,30,0,0,0,1.9000000000000001,343,-3.5,1004,-5.2,,,,,,,
2005,1,1,6,30,0,0,0,1.9000000000000001,350,-3.7,1005,-5.4,,,,,,,
2005,1,1,7,30,0,0,0,2.2,178,-3.3000000000000003,1006,-5.6000000000000005,,,,,,,
2005,1,1,8,30,19,19,0,2.7,12,-2.1,1007,-5.5,,,,,,,
2005,1,1,9,30,84,77,35,3,31,-0.9,1007,-5.6000000000000005,,,,,,,
2005,1,1,10,30,149,129,62,3.1,47,0.2,1008,-5.800000000000001,,,,,,,
2005,1,1,11,30,283,149,340,3.1,58,1.1,1007,-5.5,,,,,,,
2005,1,1,12,30,307,165,336,3.1,67,1.7000000000000002,1007,-5.1000000000000005,,,,,,,
2005,1,1,13,30,288,160,315,3.1,73,2.1,1007,-4.7,,,,,,,
2005,1,1,14,30,164,141,66,3.3000000000000003,78,2.1,1007,-4.3,,,,,,,
2005,1,1,15,30,71,71,0,3.2,81,1.3,1006,-4,,,,,,,
2005,1,1,16,30,33,33,0,2.9000000000000004,83,0.1,1007,-3.4000000000000004,,,,,,,
2005,1,1,17,30,0,0,0,3.2,82,-0.5,1007,-3.3000000000000003,,,,,,,
2005,1,1,18,30,0,0,0,3.4000000000000004,81,-0.5,1007,-3,,,,,,,
