Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Dew Point Units,DHI Units,DNI Units,GHI Units,Temperature Units,Pressure Units,Wind Direction Units,Wind Speed Units,Surface Albedo Units,Version
NSRDB,1075542,-,-,-,34.81,-79.54,-5,73,-5,c,w/m2,w/m2,w/m2,c,mbar,Degrees,m/s,N/A,3.2.4
Year,Month,Day,Hour,Minute,GHI,DHI,DNI,Wind Speed,Wind Direction,Temperature,Pressure,Dew Point,,,,,,,
2002,1,1,0,30,0,0,0,0.9,34,-0.1,1009,-5.9,,,,,,,
2002,1,1,1,30,0,0,0,0.9,27,-1.1,1009,-6.300000000000001,,,,,,,
2002,1,1,2,30,0,0,0,0.9,16,-1.8,1009,-6.6000000000000005,,,,,,,
2002,1,1,3,30,0,0,0,1.1,7,-2.3000000000000003,1009,-6.800000000000001,,,,,,,
2002,1,1,4,30,0,0,0,1.3,2,-2.8000000000000003,1010,-7.1000000000000005,,,,,,,
2002,1,1,5,30,0,0,0,1.7000000000000002,2,-3.2,1010,-7.5,,,,,,,
2002,1,1,6,30,0,0,0,2,3,-3.5,1011,-8.200000000000001,,,,,,,
2002,1,1,7,30,0,0,0,2.6,7,-2.9000000000000004,1013,-8.700000000000001,,,,,,,
2002,1,1,8,30,157,45,623,3.3000000000000003,20,-1,1014,-8.9,,,,,,,
2002,1,1,9,30,331,62,811,3.5,29,1.3,1014,-9.600000000000001,,,,,,,
2002,1,1,10,30,469,72,893,3.1,26,3.3000000000000003,1014,-10.100000000000001,,,,,,,
2002,1,1,11,30,559,77,938,2.8000000000000003,17,4.800000000000001,1013,-10.100000000000001,,,,,,,
2002,1,1,12,30,583,77,949,2.5,9,5.9,1012,-10.100000000000001,,,,,,,
2002,1,1,13,30,543,74,937,2.3000000000000003,3,6.5,1012,-10.200000000000001,,,,,,,
2002,1,1,14,30,441,67,894,2.2,2,6.4,1012,-10.4,,,,,,,
2002,1,1,15,30,290,56,799,1.7000000000000002,5,5,1012,-10.5,,,,,,,
2002,1,1,16,30,113,36,568,1.1,11,1.7000000000000002,1013,-8.6,,,,,,,
2002,1,1,17,30,0,0,0,1.1,20,-0.8,1014,-8.5,,,,,,,
2002,1,1,18,30,0,0,0,1.1,25,-1.3,1014,-9,,,,,,,
2002,1,1,19,30,0,0,0,1.2000000000000002,36,-2.4000000000000004,1016,-9.3,,,,,,,
2002,1,1,20,30,0,0,0,1.2000000000000002,39,-3,1016,-9.5,,,,,,,
2002,1,1,21,30,0,0,0,1.3,38,-3.2,1016,-9.8,,,,,,,
2002,1,1,22,30,0,0,0,1.5,37,-2.6,1016,-10,,,,,,,
2002,1,1,23,30,0,0,0,1.7000000000000002,36,-2.3000000000000003,1016,-10.200000000000001,,,,,,,
