Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Dew Point Units,DHI Units,DNI Units,GHI Units,Temperature Units,Pressure Units,Wind Direction Units,Wind Speed Units,Surface Albedo Units,Version
NSRDB,1108429,-,-,-,34.97,-78.22,-5,35,-5,c,w/m2,w/m2,w/m2,c,mbar,Degrees,m/s,N/A,3.2.4
Year,Month,Day,Hour,Minute,GHI,DHI,DNI,Wind Speed,Wind Direction,Temperature,Pressure,Dew Point,,,,,,,
2008,1,1,0,30,0,0,0,1.4000000000000001,178,5.4,1014,5.300000000000001,,,,,,,
2008,1,1,1,30,0,0,0,1.4000000000000001,192,5.300000000000001,1014,5.300000000000001,,,,,,,
2008,1,1,2,30,0,0,0,1.4000000000000001,202,5.300000000000001,1014,5.300000000000001,,,,,,,
2008,1,1,3,30,0,0,0,1.5,208,5.5,1013,5.5,,,,,,,
2008,1,1,4,30,0,0,0,1.6,215,5.800000000000001,1013,5.800000000000001,,,,,,,
2008,1,1,5,30,0,0,0,1.8,225,5.800000000000001,1012,5.800000000000001,,,,,,,
2008,1,1,6,30,0,0,0,1.9000000000000001,233,5.9,1012,5.9,,,,,,,
2008,1,1,7,30,16,12,173,2.7,240,6.800000000000001,1012,6.800000000000001,,,,,,,
2008,1,1,8,30,168,46,629,3.7,251,8.5,1012,6.6000000000000005,,,,,,,
2008,1,1,9,30,332,64,786,4.2,265,10.3,1012,6.300000000000001,,,,,,,
2008,1,1,10,30,461,76,855,4.6000000000000005,278,12.200000000000001,1012,6.4,,,,,,,
2008,1,1,11,30,537,81,884,4.800000000000001,283,13.3,1011,6.1000000000000005,,,,,,,
2008,1,1,12,30,557,80,901,5.1000000000000005,281,13.8,1010,5.1000000000000005,,,,,,,
2008,1,1,13,30,518,73,904,5.300000000000001,280,13.600000000000001,1010,3.4000000000000004,,,,,,,
2008,1,1,14,30,420,63,879,5.2,283,12.700000000000001,1010,1.2000000000000002,,,,,,,
2008,1,1,15,30,270,50,791,4.5,288,11,1011,-0.5,,,,,,,
2008,1,1,16,30,96,30,562,3.8000000000000003,292,8.4,1012,-0.9,,,,,,,
2008,1,1,17,30,0,0,0,3.9000000000000004,295,6.5,1013,-1.2000000000000002,,,,,,,
2008,1,1,18,30,0,0,0,4.1000000000000005,296,5.9,1013,-1.9000000000000001,,,,,,,
2008,1,1,19,30,0,0,0,4.3,297,4.5,1014,-2.1,,,,,,,
2008,1,1,20,30,0,0,0,4.2,297,3.6,1015,-2.4000000000000004,,,,,,,
2008,1,1,21,30,0,0,0,4.1000000000000005,298,2.8000000000000003,1015,-2.7,,,,,,,
2008,1,1,22,30,0,0,0,4,299,2,1015,-3.3000000000000003,,,,,,,
2008,1,1,23,30,0,0,0,3.6,298,1,1015,-3.7,,,,,,,
2008,1,2,0,30,0,0,0,2.9000000000000004,296,0,1016,-3.8000000000000003,,,,,,,
