Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Dew Point Units,DHI Units,DNI Units,GHI Units,Temperature Units,Pressure Units,Wind Direction Units,Wind Speed Units,Surface Albedo Units,Version
NSRDB,1000832,-,-,-,39.57,-82.94,-5,210,-5,c,w/m2,w/m2,w/m2,c,mbar,Degrees,m/s,N/A,3.2.4
Year,Month,Day,Hour,Minute,GHI,DHI,DNI,Wind Speed,Wind Direction,Temperature,Pressure,Dew Point,,,,,,,
2019,1,1,0,30,0,0,0,6.4,255,10.200000000000001,983,8.8,,,,,,,
2019,1,1,1,30,0,0,0,6.2,262,8.700000000000001,984,7,,,,,,,
2019,1,1,2,30,0,0,0,5.7,268,7.1000000000000005,986,5.300000000000001,,,,,,,
2019,1,1,3,30,0,0,0,5.2,273,5.800000000000001,988,4,,,,,,,
2019,1,1,4,30,0,0,0,4.7,278,4.9,989,3.2,,,,,,,
2019,1,1,5,30,0,0,0,4,285,4.4,991,2.7,,,,,,,
2019,1,1,6,30,0,0,0,3,291,3.9000000000000004,992,2.4000000000000004,,,,,,,
2019,1,1,7,30,0,0,0,2.4000000000000004,294,3.7,993,2.1,,,,,,,
2019,1,1,8,30,67,35,337,2.4000000000000004,299,4.3,994,2.2,,,,,,,
2019,1,1,9,30,123,38,349,2.5,310,5.4,995,2.2,,,,,,,
2019,1,1,10,30,44,44,0,2.4000000000000004,314,6.300000000000001,995,2,,,,,,,
2019,1,1,11,30,45,45,0,2.2,308,7,995,2,,,,,,,
2019,1,1,12,30,52,52,0,2.1,298,7.2,994,2.2,,,,,,,
2019,1,1,13,30,39,39,0,2.2,290,7.2,994,2.4000000000000004,,,,,,,
2019,1,1,14,30,55,55,0,2.2,291,6.800000000000001,995,2.5,,,,,,,
2019,1,1,15,30,40,40,0,1.8,295,6.1000000000000005,995,2.6,,,,,,,
2019,1,1,16,30,16,16,0,1.1,300,4.800000000000001,996,3.3000000000000003,,,,,,,
2019,1,1,17,30,0,0,0,0.8,309,3.7,996,3,,,,,,,
2019,1,1,18,30,0,0,0,0.8,315,3.3000000000000003,996,2.4000000000000004,,,,,,,
2019,1,1,19,30,0,0,0,0.8,329,2.6,997,1.9000000000000001,,,,,,,
2019,1,1,20,30,0,0,0,0.8,337,2.2,996,1.6,,,,,,,
2019,1,1,21,30,0,0,0,0.8,344,1.9000000000000001,996,1.4000000000000001,,,,,,,
2019,1,1,22,30,0,0,0,0.8,350,1.6,996,1.1,,,,,,,
2019,1,1,23,30,0,0,0,0.8,356,1.4000000000000001,996,0.9,,,,,,,
2019,1,2,0,30,0,0,0,0.9,181,1.2000000000000002,996,0.8,,,,,,,
2019,1,2,1,30,0,0,0,0.9,8,1,997,0.7000000000000001,,,,,,,
2019,1,2,2,30,0,0,0,0.9,17,0.9,997,0.5,,,,,,,
2019,1,2,3,30,0,0,0,0.8,27,0.7000000000000001,997,0.4,,,,,,,
2019,1,2,4,30,0,0,0,0.8,43,0.4,997,0.2,,,,,,,
2019,1,2,5,30,0,0,0,0.8,66,0.30000000000000004,997,0.1,,,,,,,
2019,1,2,6,30,0,0,0,0.8,92,0.2,997,0.1,,,,,,,
2019,1,2,7,30,0,0,0,0.9,113,0.6000000000000001,997,0.2,,,,,,,
2019,1,2,8,30,25,25,0,1.2000000000000002,129,1.9000000000000001,997,0.6000000000000001,,,,,,,
2019,1,2,9,30,31,31,0,1.6,145,3.3000000000000003,997,1.5,,,,,,,
2019,1,2,10,30,44,44,0,1.9000000000000001,164,4.5,996,2,,,,,,,
2019,1,2,11,30,76,76,0,2.1,181,5.4,995,2.1,,,,,,,
2019,1,2,12,30,126,123,7,2.2,194,5.800000000000001,993,2.1,,,,,,,
2019,1,2,13,30,68,68,0,2.3000000000000003,206,5.800000000000001,992,2.2,,,,,,,
2019,1,2,14,30,39,39,0,2.2,214,5.5,992,2.6,,,,,,,
2019,1,2,15,30,15,15,0,1.8,213,5,991,3.2,,,,,,,
2019,1,2,16,30,34,30,33,1.8,211,4.5,991,3.4000000000000004,,,,,,,
2019,1,2,17,30,0,0,0,2.1,214,4.3,990,3.3000000000000003,,,,,,,
2019,1,2,18,30,0,0,0,2.3000000000000003,218,4.3,990,3.3000000000000003,,,,,,,
2019,1,2,19,30,0,0,0,2.6,243,4.3,989,3.4000000000000004,,,,,,,
2019,1,2,20,30,0,0,0,2.9000000000000004,259,4.1000000000000005,989,3.3000000000000003,,,,,,,
2019,1,2,21,30,0,0,0,3.1,270,3.7,990,3,,,,,,,
2019,1,2,22,30,0,0,0,3.2,281,3,990,2.2,,,,,,,
2019,1,2,23,30,0,0,0,3,292,2.1,990,1.1,,,,,,,
2019,1,3,0,30,0,0,0,2.4000000000000004,298,1.2000000000000002,991,-0.1,,,,,,,
2019,1,3,1,30,0,0,0,1.6,296,0.30000000000000004,991,-0.9,,,,,,,
2019,1,3,2,30,0,0,0,1.1,291,-0.30000000000000004,992,-1.4000000000000001,,,,,,,
2019,1,3,3,30,0,0,0,1,286,-0.8,991,-1.8,,,,,,,
2019,1,3,4,30,0,0,0,1,289,-1.1,991,-2.1,,,,,,,
2019,1,3,5,30,0,0,0,1.1,296,-1.4000000000000001,991,-2.5,,,,,,,
2019,1,3,6,30,0,0,0,1,299,-1.7000000000000002,992,-2.8000000000000003,,,,,,,
2019,1,3,7,30,0,0,0,1,302,-1.6,992,-3.2,,,,,,,
2019,1,3,8,30,34,32,21,1.4000000000000001,305,-0.30000000000000004,992,-2.7,,,,,,,
2019,1,3,9,30,117,89,117,1.7000000000000002,299,1.4000000000000001,992,-2.7,,,,,,,
2019,1,3,10,30,141,124,48,1.7000000000000002,278,2.6,992,-3.1,,,,,,,
2019,1,3,11,30,180,166,32,1.8,258,3.7,991,-3,,,,,,,
2019,1,3,12,30,247,200,101,2.1,251,4.6000000000000005,991,-2.7,,,,,,,
2019,1,3,13,30,252,188,143,2.2,248,5.1000000000000005,990,-2.3000000000000003,,,,,,,
2019,1,3,14,30,268,138,342,2.1,246,5.1000000000000005,990,-1.9000000000000001,,,,,,,
2019,1,3,15,30,214,77,505,1.5,246,4,990,-1.5,,,,,,,
2019,1,3,16,30,94,36,455,1,244,1.8,991,0.2,,,,,,,
2019,1,3,17,30,0,0,0,1.1,242,0.2,991,-1.9000000000000001,,,,,,,
2019,1,3,18,30,0,0,0,1.1,241,-0.2,991,-2.3000000000000003,,,,,,,
2019,1,3,19,30,0,0,0,1.2000000000000002,241,-1.1,991,-2.4000000000000004,,,,,,,
2019,1,3,20,30,0,0,0,1.2000000000000002,235,-1.4000000000000001,990,-2.5,,,,,,,
2019,1,3,21,30,0,0,0,1.1,226,-1.9000000000000001,990,-2.5,,,,,,,
2019,1,3,22,30,0,0,0,1.1,222,-2.1,990,-2.4000000000000004,,,,,,,
2019,1,3,23,30,0,0,0,1.1,224,-1.8,989,-2.2,,,,,,,
2019,1,4,0,30,0,0,0,1.1,220,-1.5,989,-2.1,,,,,,,
2019,1,4,1,30,0,0,0,1,212,-1.4000000000000001,989,-2,,,,,,,
2019,1,4,2,30,0,0,0,1,204,-1.3,989,-1.8,,,,,,,
2019,1,4,3,30,0,0,0,0.9,188,-1.2000000000000002,988,-1.8,,,,,,,
2019,1,4,4,30,0,0,0,0.8,165,-1.1,988,-1.7000000000000002,,,,,,,
2019,1,4,5,30,0,0,0,1,153,-1.2000000000000002,987,-1.7000000000000002,,,,,,,
2019,1,4,6,30,0,0,0,1.1,147,-1.2000000000000002,987,-1.5,,,,,,,
2019,1,4,7,30,0,0,0,1.2000000000000002,139,-0.9,987,-1.3,,,,,,,
2019,1,4,8,30,16,16,0,1.6,127,0.1,986,-1.1,,,,,,,
2019,1,4,9,30,117,94,95,2.1,112,1.3,986,-0.5,,,,,,,
2019,1,4,10,30,233,144,247,2.2,93,2.3000000000000003,984,-0.1,,,,,,,
2019,1,4,11,30,327,165,371,2.3000000000000003,82,4.1000000000000005,983,0.4,,,,,,,
2019,1,4,12,30,368,168,429,2.6,82,6.4,981,1,,,,,,,
2019,1,4,13,30,374,135,534,2.7,79,7.800000000000001,980,1.2000000000000002,,,,,,,
2019,1,4,14,30,371,57,824,2.6,71,7.9,979,1.8,,,,,,,
2019,1,4,15,30,245,51,713,2.3000000000000003,62,6.800000000000001,978,2.8000000000000003,,,,,,,
2019,1,4,16,30,28,28,3,2.1,54,5.300000000000001,977,3.5,,,,,,,
2019,1,4,17,30,0,0,0,2.5,48,4.7,976,3.2,,,,,,,
2019,1,4,18,30,0,0,0,2.8000000000000003,45,4.7,976,3.5,,,,,,,
2019,1,4,19,30,0,0,0,2.7,28,4.2,976,3.5,,,,,,,
2019,1,4,20,30,0,0,0,3.1,19,4,976,3.3000000000000003,,,,,,,
2019,1,4,21,30,0,0,0,3.2,14,3.7,975,3,,,,,,,
2019,1,4,22,30,0,0,0,2.9000000000000004,9,3.4000000000000004,975,2.6,,,,,,,
2019,1,4,23,30,0,0,0,2.8000000000000003,180,3,975,2.2,,,,,,,
2019,1,5,0,30,0,0,0,2.6,350,2.7,975,1.8,,,,,,,
2019,1,5,1,30,0,0,0,2.1,337,2.4000000000000004,976,1.5,,,,,,,
2019,1,5,2,30,0,0,0,2,316,2.1,976,1.3,,,,,,,
2019,1,5,3,30,0,0,0,2.5,298,1.9000000000000001,977,1.1,,,,,,,
2019,1,5,4,30,0,0,0,2.8000000000000003,291,1.6,978,1,,,,,,,
2019,1,5,5,30,0,0,0,2.7,287,0.9,979,0.7000000000000001,,,,,,,
2019,1,5,6,30,0,0,0,2.7,283,0.1,980,0.1,,,,,,,
2019,1,5,7,30,0,0,0,3,279,-0.1,981,-0.6000000000000001,,,,,,,
2019,1,5,8,30,71,30,431,3.3000000000000003,278,0.9,983,-0.6000000000000001,,,,,,,
2019,1,5,9,30,224,50,714,3.4000000000000004,276,2.8000000000000003,983,0.4,,,,,,,
2019,1,5,10,30,359,58,833,3.5,272,4.9,984,1.4000000000000001,,,,,,,
2019,1,5,11,30,449,64,881,3.7,270,6.7,984,2.3000000000000003,,,,,,,
2019,1,5,12,30,485,66,897,3.8000000000000003,270,8,984,2.9000000000000004,,,,,,,
2019,1,5,13,30,462,66,882,3.8000000000000003,268,8.8,984,3.3000000000000003,,,,,,,
2019,1,5,14,30,383,62,837,3.6,265,9,984,3.8000000000000003,,,,,,,
2019,1,5,15,30,258,53,744,2.9000000000000004,261,8.1,985,4.4,,,,,,,
2019,1,5,16,30,106,35,536,2.2,254,6.1000000000000005,986,4.800000000000001,,,,,,,
2019,1,5,17,30,0,0,0,2.2,247,4.6000000000000005,986,4.1000000000000005,,,,,,,
2019,1,5,18,30,0,0,0,2.4000000000000004,244,4.4,987,4.2,,,,,,,
2019,1,5,19,30,0,0,0,2.5,242,3.8000000000000003,987,3.8000000000000003,,,,,,,
2019,1,5,20,30,0,0,0,2.6,243,3.5,988,3.5,,,,,,,
2019,1,5,21,30,0,0,0,2.8000000000000003,247,3.6,988,3.6,,,,,,,
2019,1,5,22,30,0,0,0,3.1,251,3.9000000000000004,989,3.9000000000000004,,,,,,,
2019,1,5,23,30,0,0,0,3.3000000000000003,257,4,989,3.8000000000000003,,,,,,,
2019,1,6,0,30,0,0,0,3.1,263,3.9000000000000004,989,3.7,,,,,,,
2019,1,6,1,30,0,0,0,2.7,267,3.6,990,3.4000000000000004,,,,,,,
2019,1,6,2,30,0,0,0,2.4000000000000004,271,3.4000000000000004,990,3.1,,,,,,,
2019,1,6,3,30,0,0,0,2.1,278,3.3000000000000003,991,2.8000000000000003,,,,,,,
2019,1,6,4,30,0,0,0,1.7000000000000002,287,3.3000000000000003,992,2.8000000000000003,,,,,,,
2019,1,6,5,30,0,0,0,1.3,299,3.3000000000000003,992,2.9000000000000004,,,,,,,
2019,1,6,6,30,0,0,0,1,315,3.2,993,2.9000000000000004,,,,,,,
2019,1,6,7,30,0,0,0,1.1,339,3.1,994,2.7,,,,,,,
2019,1,6,8,30,70,32,396,1.6,190,3.2,995,2.4000000000000004,,,,,,,
2019,1,6,9,30,224,55,693,1.8,34,3.9000000000000004,996,2.1,,,,,,,
2019,1,6,10,30,361,63,823,1.9000000000000001,45,5.300000000000001,997,2.3000000000000003,,,,,,,
2019,1,6,11,30,327,151,402,1.8,45,6.800000000000001,996,2.4000000000000004,,,,,,,
2019,1,6,12,30,486,71,884,1.7000000000000002,39,7.800000000000001,996,2.5,,,,,,,
2019,1,6,13,30,452,81,823,1.8,37,8.1,995,2.6,,,,,,,
2019,1,6,14,30,386,65,832,1.9000000000000001,41,7.800000000000001,996,2.6,,,,,,,
2019,1,6,15,30,262,57,738,1.7000000000000002,47,6.800000000000001,996,2.8000000000000003,,,,,,,
2019,1,6,16,30,106,40,487,1.3,51,4.9,996,3.6,,,,,,,
2019,1,6,17,30,0,0,0,1.4000000000000001,56,3.5,997,2.3000000000000003,,,,,,,
2019,1,6,18,30,0,0,0,1.6,59,3.4000000000000004,997,1.9000000000000001,,,,,,,
2019,1,6,19,30,0,0,0,2,71,3.3000000000000003,998,1.7000000000000002,,,,,,,
2019,1,6,20,30,0,0,0,2.3000000000000003,78,3,998,1.4000000000000001,,,,,,,
2019,1,6,21,30,0,0,0,2.5,83,2.7,998,1.2000000000000002,,,,,,,
2019,1,6,22,30,0,0,0,2.5,86,2.3000000000000003,997,0.9,,,,,,,
2019,1,6,23,30,0,0,0,2.6,89,1.9000000000000001,997,0.5,,,,,,,
2019,1,7,0,30,0,0,0,2.9000000000000004,91,1.8,997,0.30000000000000004,,,,,,,
2019,1,7,1,30,0,0,0,3.1,94,1.7000000000000002,997,0.1,,,,,,,
2019,1,7,2,30,0,0,0,3.3000000000000003,99,1.6,996,-0.1,,,,,,,
2019,1,7,3,30,0,0,0,3.2,106,1.5,995,-0.30000000000000004,,,,,,,
2019,1,7,4,30,0,0,0,2.6,109,1.3,995,-0.30000000000000004,,,,,,,
2019,1,7,5,30,0,0,0,2.6,109,1.2000000000000002,995,-0.30000000000000004,,,,,,,
2019,1,7,6,30,0,0,0,3.1,111,1.3,994,-0.2,,,,,,,
2019,1,7,7,30,0,0,0,3.1,118,1.5,993,-0.1,,,,,,,
2019,1,7,8,30,10,10,0,3.3000000000000003,125,2.6,993,0.2,,,,,,,
2019,1,7,9,30,42,42,0,3.9000000000000004,137,4.6000000000000005,992,1.3,,,,,,,
2019,1,7,10,30,54,54,0,4.3,153,7.2,991,3,,,,,,,
2019,1,7,11,30,71,71,0,4.4,165,9.8,989,5.1000000000000005,,,,,,,
2019,1,7,12,30,52,52,0,4.5,173,12,988,6.9,,,,,,,
2019,1,7,13,30,63,63,0,4.800000000000001,182,13.600000000000001,986,8.4,,,,,,,
2019,1,7,14,30,70,70,0,5,192,14.200000000000001,986,9.5,,,,,,,
2019,1,7,15,30,25,25,0,5.1000000000000005,197,13.8,985,10.100000000000001,,,,,,,
2019,1,7,16,30,24,24,0,5.5,201,13.200000000000001,985,10.100000000000001,,,,,,,
