Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Dew Point Units,DHI Units,DNI Units,GHI Units,Temperature Units,Pressure Units,Wind Direction Units,Wind Speed Units,Surface Albedo Units,Version
NSRDB,1027136,-,-,-,40.53,-81.66,-5,342,-5,c,w/m2,w/m2,w/m2,c,mbar,Degrees,m/s,N/A,3.2.4
Year,Month,Day,Hour,Minute,GHI,DHI,DNI,Wind Speed,Wind Direction,Temperature,Pressure,Dew Point,,,,,,,
2013,1,1,0,30,0,0,0,0.8,237,-2.8000000000000003,976,-2.8000000000000003,,,,,,,
2013,1,1,1,30,0,0,0,0.8,239,-3.1,976,-3.3000000000000003,,,,,,,
2013,1,1,2,30,0,0,0,0.7000000000000001,248,-3.3000000000000003,976,-3.6,,,,,,,
2013,1,1,3,30,0,0,0,0.6000000000000001,262,-3.5,976,-3.8000000000000003,,,,,,,
2013,1,1,4,30,0,0,0,0.6000000000000001,278,-3.8000000000000003,976,-4,,,,,,,
2013,1,1,5,30,0,0,0,0.6000000000000001,294,-4.2,976,-4.4,,,,,,,
2013,1,1,6,30,0,0,0,0.6000000000000001,308,-4.7,976,-5,,,,,,,
2013,1,1,7,30,0,0,0,0.7000000000000001,322,-4.9,976,-5.5,,,,,,,
2013,1,1,8,30,25,25,0,0.8,337,-4.2,976,-5.7,,,,,,,
2013,1,1,9,30,40,40,0,1,342,-2.7,977,-4.3,,,,,,,
2013,1,1,10,30,68,68,0,1.2000000000000002,336,-1.9000000000000001,977,-3.3000000000000003,,,,,,,
2013,1,1,11,30,212,180,76,1.3,331,-2,977,-3.4000000000000004,,,,,,,
2013,1,1,12,30,144,144,0,1.4000000000000001,329,-2.3000000000000003,976,-3.8000000000000003,,,,,,,
2013,1,1,13,30,159,154,12,1.5,329,-2.8000000000000003,976,-4.2,,,,,,,
2013,1,1,14,30,167,145,61,1.4000000000000001,332,-3.5,976,-4.800000000000001,,,,,,,
2013,1,1,15,30,79,79,0,1.1,332,-4.5,976,-5.5,,,,,,,
2013,1,1,16,30,35,34,9,0.9,331,-6.300000000000001,976,-6.7,,,,,,,
2013,1,1,17,30,0,0,0,0.8,333,-8.3,977,-9.200000000000001,,,,,,,
2013,1,1,18,30,0,0,0,0.8,334,-9.1,977,-11,,,,,,,
2013,1,1,19,30,0,0,0,0.9,332,-9.9,978,-11.8,,,,,,,
2013,1,1,20,30,0,0,0,1.1,325,-10.3,978,-12.5,,,,,,,
2013,1,1,21,30,0,0,0,1.2000000000000002,318,-10.700000000000001,979,-13,,,,,,,
2013,1,1,22,30,0,0,0,1.2000000000000002,311,-11.100000000000001,978,-13.4,,,,,,,
2013,1,1,23,30,0,0,0,1.2000000000000002,303,-11.600000000000001,978,-13.5,,,,,,,
2013,1,2,0,30,0,0,0,1.3,297,-12,978,-13.700000000000001,,,,,,,
2013,1,2,1,30,0,0,0,1.2000000000000002,293,-12.200000000000001,978,-13.8,,,,,,,
