Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Dew Point Units,DHI Units,DNI Units,GHI Units,Temperature Units,Pressure Units,Wind Direction Units,Wind Speed Units,Surface Albedo Units,Version
NSRDB,1001752,-,-,-,36.17,-82.9,-5,398,-5,c,w/m2,w/m2,w/m2,c,mbar,Degrees,m/s,N/A,3.2.4
Year,Month,Day,Hour,Minute,GHI,DHI,DNI,Wind Speed,Wind Direction,Temperature,Pressure,Dew Point,,,,,,,
2009,1,1,0,30,0,0,0,0.4,5,-5.5,972,-8.700000000000001,,,,,,,
2009,1,1,1,30,0,0,0,0.4,11,-5.6000000000000005,972,-8.700000000000001,,,,,,,
2009,1,1,2,30,0,0,0,0.4,30,-5.7,972,-8.700000000000001,,,,,,,
2009,1,1,3,30,0,0,0,0.30000000000000004,50,-5.800000000000001,972,-8.8,,,,,,,
2009,1,1,4,30,0,0,0,0.4,66,-5.7,972,-8.9,,,,,,,
2009,1,1,5,30,0,0,0,0.4,80,-5.6000000000000005,971,-9.200000000000001,,,,,,,
2009,1,1,6,30,0,0,0,0.4,91,-5.5,971,-9.4,,,,,,,
2009,1,1,7,30,0,0,0,0.5,96,-4.6000000000000005,971,-9.5,,,,,,,
2009,1,1,8,30,112,31,635,0.7000000000000001,102,-2.2,971,-10.100000000000001,,,,,,,
2009,1,1,9,30,285,46,840,0.7000000000000001,110,1,971,-11.100000000000001,,,,,,,
2009,1,1,10,30,431,52,935,0.6000000000000001,126,3.9000000000000004,971,-10.9,,,,,,,
2009,1,1,11,30,529,56,977,0.6000000000000001,151,6,970,-10.5,,,,,,,
2009,1,1,12,30,561,58,980,0.6000000000000001,171,7.300000000000001,969,-9.8,,,,,,,
2009,1,1,13,30,536,58,969,0.6000000000000001,183,7.800000000000001,968,-8.700000000000001,,,,,,,
2009,1,1,14,30,446,55,923,0.5,185,7.4,967,-7.5,,,,,,,
2009,1,1,15,30,308,49,840,0.4,178,5.300000000000001,967,-4.800000000000001,,,,,,,
2009,1,1,16,30,137,36,637,0.5,171,1.8,967,-2.9000000000000004,,,,,,,
2009,1,1,17,30,0,0,0,0.6000000000000001,168,-0.2,967,-5.2,,,,,,,
2009,1,1,18,30,0,0,0,0.6000000000000001,167,-0.5,967,-5.9,,,,,,,
2009,1,1,19,30,0,0,0,0.7000000000000001,159,-1.6,966,-6.2,,,,,,,
2009,1,1,20,30,0,0,0,0.6000000000000001,157,-1.9000000000000001,965,-6.6000000000000005,,,,,,,
2009,1,1,21,30,0,0,0,0.6000000000000001,157,-2,965,-6.7,,,,,,,
2009,1,1,22,30,0,0,0,0.6000000000000001,161,-2,964,-6.6000000000000005,,,,,,,
2009,1,1,23,30,0,0,0,0.6000000000000001,167,-2,964,-6.4,,,,,,,
2009,1,2,0,30,0,0,0,0.6000000000000001,180,-1.8,964,-6.300000000000001,,,,,,,
2009,1,2,1,30,0,0,0,0.6000000000000001,197,-1.3,964,-6.300000000000001,,,,,,,
2009,1,2,2,30,0,0,0,0.6000000000000001,207,-0.7000000000000001,964,-5.800000000000001,,,,,,,
2009,1,2,3,30,0,0,0,0.5,204,-0.2,964,-4.7,,,,,,,
2009,1,2,4,30,0,0,0,0.6000000000000001,201,0.4,964,-3.6,,,,,,,
2009,1,2,5,30,0,0,0,0.7000000000000001,208,1.2000000000000002,963,-2.2,,,,,,,
2009,1,2,6,30,0,0,0,0.7000000000000001,217,1.9000000000000001,963,-0.8,,,,,,,
2009,1,2,7,30,0,0,0,0.6000000000000001,226,2.4000000000000004,963,0.30000000000000004,,,,,,,
2009,1,2,8,30,23,23,0,0.6000000000000001,233,3,964,1.2000000000000002,,,,,,,
2009,1,2,9,30,9,9,0,0.6000000000000001,236,3.6,964,1.9000000000000001,,,,,,,
2009,1,2,10,30,50,50,0,0.7000000000000001,239,4.1000000000000005,964,2.5,,,,,,,
