Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Dew Point Units,DHI Units,DNI Units,GHI Units,Temperature Units,Pressure Units,Wind Direction Units,Wind Speed Units,Surface Albedo Units,Version
NSRDB,963447,-,-,-,35.89,-84.7,-5,376,-5,c,w/m2,w/m2,w/m2,c,mbar,Degrees,m/s,N/A,3.2.4
Year,Month,Day,Hour,Minute,GHI,DHI,DNI,Wind Speed,Wind Direction,Temperature,Pressure,Dew Point,,,,,,,
2004,1,1,0,30,0,0,0,0.8,213,0.2,984,-2.6,,,,,,,
2004,1,1,1,30,0,0,0,0.7000000000000001,213,0,984,-2.6,,,,,,,
2004,1,1,2,30,0,0,0,0.7000000000000001,213,-0.4,984,-2.6,,,,,,,
2004,1,1,3,30,0,0,0,0.6000000000000001,218,-0.6000000000000001,984,-2.8000000000000003,,,,,,,
2004,1,1,4,30,0,0,0,0.5,225,-0.6000000000000001,985,-2.6,,,,,,,
2004,1,1,5,30,0,0,0,0.6000000000000001,229,-0.4,985,-2.7,,,,,,,
2004,1,1,6,30,0,0,0,0.8,228,0,985,-3.1,,,,,,,
2004,1,1,7,30,0,0,0,0.7000000000000001,223,1,985,-3.3000000000000003,,,,,,,
2004,1,1,8,30,52,39,116,0.30000000000000004,215,3.4000000000000004,986,-1.3,,,,,,,
2004,1,1,9,30,206,77,475,0.1,209,6.1000000000000005,987,0.7000000000000001,,,,,,,
2004,1,1,10,30,314,131,461,0.1,197,8.6,986,-0.2,,,,,,,
2004,1,1,11,30,182,175,14,0.1,191,11.200000000000001,985,0.6000000000000001,,,,,,,
2004,1,1,12,30,467,132,649,0.1,199,13.200000000000001,984,1.7000000000000002,,,,,,,
2004,1,1,13,30,318,226,184,0.2,198,14,984,2.4000000000000004,,,,,,,
2004,1,1,14,30,156,153,7,0.2,193,13.3,983,3.4000000000000004,,,,,,,
2004,1,1,15,30,73,73,0,0.1,193,11.5,983,6.300000000000001,,,,,,,
2004,1,1,16,30,26,26,0,0.2,197,9.700000000000001,982,6.9,,,,,,,
2004,1,1,17,30,0,0,0,0.2,200,9,982,6,,,,,,,
2004,1,1,18,30,0,0,0,0.2,200,8.9,982,5.9,,,,,,,
2004,1,1,19,30,0,0,0,0.2,191,8.200000000000001,982,5.9,,,,,,,
2004,1,1,20,30,0,0,0,0.2,191,7.6000000000000005,982,5.5,,,,,,,
2004,1,1,21,30,0,0,0,0.2,197,7.5,982,5.2,,,,,,,
2004,1,1,22,30,0,0,0,0.2,200,7.800000000000001,981,4.9,,,,,,,
2004,1,1,23,30,0,0,0,0.2,200,8.1,981,5,,,,,,,
2004,1,2,0,30,0,0,0,0.2,204,8.200000000000001,981,4.9,,,,,,,
2004,1,2,1,30,0,0,0,0.2,203,7.6000000000000005,981,5,,,,,,,
2004,1,2,2,30,0,0,0,0.1,204,7,981,5.300000000000001,,,,,,,
2004,1,2,3,30,0,0,0,0.1,205,6.800000000000001,980,5.300000000000001,,,,,,,
2004,1,2,4,30,0,0,0,0.1,202,6.800000000000001,980,5.4,,,,,,,
2004,1,2,5,30,0,0,0,0.1,199,6.800000000000001,980,5.5,,,,,,,
2004,1,2,6,30,0,0,0,0.1,194,7,980,5.7,,,,,,,
2004,1,2,7,30,0,0,0,0.1,189,7.2,980,6,,,,,,,
2004,1,2,8,30,18,18,0,0.2,187,7.9,981,6.6000000000000005,,,,,,,
2004,1,2,9,30,46,46,0,0.2,189,9,981,7.5,,,,,,,
2004,1,2,10,30,50,50,0,0.2,194,10.600000000000001,980,8.6,,,,,,,
2004,1,2,11,30,105,105,0,0.30000000000000004,201,12.3,979,10.100000000000001,,,,,,,
2004,1,2,12,30,177,173,6,0.30000000000000004,203,13.8,978,11.3,,,,,,,
2004,1,2,13,30,285,227,115,0.30000000000000004,201,14.9,978,12.3,,,,,,,
2004,1,2,14,30,89,89,0,0.30000000000000004,194,15.3,977,13,,,,,,,
2004,1,2,15,30,115,114,1,0.30000000000000004,187,15,977,13.4,,,,,,,
2004,1,2,16,30,47,47,0,0.2,184,13.9,976,13.4,,,,,,,
2004,1,2,17,30,0,0,0,0.2,187,13.100000000000001,977,13.100000000000001,,,,,,,
2004,1,2,18,30,0,0,0,0.2,190,13,977,12.9,,,,,,,
2004,1,2,19,30,0,0,0,0.2,192,12.9,977,12.9,,,,,,,
2004,1,2,20,30,0,0,0,0.2,194,12.9,977,12.9,,,,,,,
2004,1,2,21,30,0,0,0,0.2,194,12.700000000000001,977,12.700000000000001,,,,,,,
2004,1,2,22,30,0,0,0,0.2,194,12.600000000000001,977,12.600000000000001,,,,,,,
2004,1,2,23,30,0,0,0,0.2,197,12.5,976,12.5,,,,,,,
2004,1,3,0,30,0,0,0,0.2,198,12.5,976,12.5,,,,,,,
2004,1,3,1,30,0,0,0,0.2,201,12.5,976,12.5,,,,,,,
2004,1,3,2,30,0,0,0,0.2,206,12.600000000000001,976,12.600000000000001,,,,,,,
2004,1,3,3,30,0,0,0,0.2,211,12.700000000000001,976,12.700000000000001,,,,,,,
2004,1,3,4,30,0,0,0,0.2,213,12.8,976,12.8,,,,,,,
2004,1,3,5,30,0,0,0,0.2,211,13,976,13,,,,,,,
2004,1,3,6,30,0,0,0,0.2,209,13.100000000000001,976,13.100000000000001,,,,,,,
2004,1,3,7,30,0,0,0,0.2,207,13.4,977,13.200000000000001,,,,,,,
2004,1,3,8,30,77,35,382,0.2,205,14.3,977,13.5,,,,,,,
2004,1,3,9,30,79,79,0,0.30000000000000004,200,15.600000000000001,977,14.3,,,,,,,
2004,1,3,10,30,81,81,0,0.30000000000000004,199,17.1,977,15.100000000000001,,,,,,,
2004,1,3,11,30,60,60,0,0.30000000000000004,203,18.400000000000002,976,15.5,,,,,,,
2004,1,3,12,30,35,35,0,0.4,206,19.3,975,15.8,,,,,,,
2004,1,3,13,30,214,199,29,0.4,208,19.6,974,16,,,,,,,
2004,1,3,14,30,142,142,0,0.30000000000000004,208,19.3,974,16.2,,,,,,,
2004,1,3,15,30,286,85,609,0.30000000000000004,206,18.6,974,16.400000000000002,,,,,,,
2004,1,3,16,30,69,66,16,0.2,203,17.7,974,16.6,,,,,,,
2004,1,3,17,30,0,0,0,0.2,201,17,974,16.5,,,,,,,
2004,1,3,18,30,0,0,0,0.2,200,16.8,975,16.5,,,,,,,
2004,1,3,19,30,0,0,0,0.2,201,16.6,975,16.400000000000002,,,,,,,
2004,1,3,20,30,0,0,0,0.2,203,16.5,975,16.3,,,,,,,
2004,1,3,21,30,0,0,0,0.2,205,16.3,975,16.1,,,,,,,
2004,1,3,22,30,0,0,0,0.2,206,16.1,975,15.9,,,,,,,
2004,1,3,23,30,0,0,0,0.2,206,15.9,975,15.600000000000001,,,,,,,
2004,1,4,0,30,0,0,0,0.2,204,15.700000000000001,975,15.5,,,,,,,
2004,1,4,1,30,0,0,0,0.2,201,15.5,974,15.3,,,,,,,
2004,1,4,2,30,0,0,0,0.2,199,15.3,974,15.200000000000001,,,,,,,
2004,1,4,3,30,0,0,0,0.2,202,15.200000000000001,973,15.100000000000001,,,,,,,
2004,1,4,4,30,0,0,0,0.2,205,15.200000000000001,973,15.100000000000001,,,,,,,
2004,1,4,5,30,0,0,0,0.2,208,15.100000000000001,973,15,,,,,,,
2004,1,4,6,30,0,0,0,0.2,210,15.100000000000001,973,14.9,,,,,,,
2004,1,4,7,30,0,0,0,0.2,210,15.3,973,14.9,,,,,,,
2004,1,4,8,30,22,22,0,0.30000000000000004,207,15.9,973,15.200000000000001,,,,,,,
2004,1,4,9,30,70,70,0,0.30000000000000004,205,16.6,973,15.5,,,,,,,
2004,1,4,10,30,128,128,0,0.4,205,17.3,973,15.9,,,,,,,
2004,1,4,11,30,162,160,4,0.4,206,17.6,972,16,,,,,,,
2004,1,4,12,30,138,138,0,0.4,206,17.7,971,15.9,,,,,,,
2004,1,4,13,30,188,181,12,0.4,205,18.2,971,15.9,,,,,,,
2004,1,4,14,30,183,171,26,0.4,205,18.3,970,15.9,,,,,,,
2004,1,4,15,30,174,139,106,0.4,205,17.8,970,15.8,,,,,,,
2004,1,4,16,30,42,42,0,0.30000000000000004,205,17.2,971,15.9,,,,,,,
2004,1,4,17,30,0,0,0,0.30000000000000004,203,16.8,971,15.9,,,,,,,
2004,1,4,18,30,0,0,0,0.30000000000000004,202,16.6,971,15.9,,,,,,,
2004,1,4,19,30,0,0,0,0.30000000000000004,200,16.5,970,16,,,,,,,
2004,1,4,20,30,0,0,0,0.30000000000000004,200,16.5,970,16,,,,,,,
2004,1,4,21,30,0,0,0,0.4,201,16.6,970,16.1,,,,,,,
2004,1,4,22,30,0,0,0,0.4,204,16.7,969,16.3,,,,,,,
2004,1,4,23,30,0,0,0,0.4,208,16.8,968,16.400000000000002,,,,,,,
2004,1,5,0,30,0,0,0,0.4,215,16.8,968,16.5,,,,,,,
2004,1,5,1,30,0,0,0,0.30000000000000004,228,16.8,968,16.5,,,,,,,
2004,1,5,2,30,0,0,0,0.30000000000000004,256,16.5,968,16.5,,,,,,,
2004,1,5,3,30,0,0,0,0.30000000000000004,289,15.700000000000001,968,15.700000000000001,,,,,,,
2004,1,5,4,30,0,0,0,0.30000000000000004,309,13.8,969,13.8,,,,,,,
2004,1,5,5,30,0,0,0,0.30000000000000004,315,11,970,11,,,,,,,
2004,1,5,6,30,0,0,0,0.30000000000000004,315,8.5,971,8.5,,,,,,,
2004,1,5,7,30,0,0,0,0.30000000000000004,314,6.6000000000000005,972,6.1000000000000005,,,,,,,
2004,1,5,8,30,9,9,0,0.30000000000000004,318,5.6000000000000005,973,4.1000000000000005,,,,,,,
2004,1,5,9,30,56,56,0,0.30000000000000004,316,5,974,3,,,,,,,
2004,1,5,10,30,88,88,0,0.2,305,4.7,975,2.3000000000000003,,,,,,,
2004,1,5,11,30,38,38,0,0.2,306,5,974,1.9000000000000001,,,,,,,
2004,1,5,12,30,77,77,0,0.30000000000000004,307,5.800000000000001,974,1.9000000000000001,,,,,,,
2004,1,5,13,30,145,145,0,0.30000000000000004,304,6.4,974,1.6,,,,,,,
2004,1,5,14,30,66,66,0,0.30000000000000004,306,6.2,975,0.9,,,,,,,
2004,1,5,15,30,19,19,0,0.30000000000000004,310,5.2,976,0.1,,,,,,,
2004,1,5,16,30,46,46,0,0.30000000000000004,314,3.4000000000000004,977,-0.6000000000000001,,,,,,,
2004,1,5,17,30,14,12,96,0.2,316,1.9000000000000001,978,-0.8,,,,,,,
2004,1,5,18,30,0,0,0,0.2,317,1.3,979,-1.1,,,,,,,
2004,1,5,19,30,0,0,0,0.2,322,0.30000000000000004,980,-1.3,,,,,,,
2004,1,5,20,30,0,0,0,0.2,324,-0.30000000000000004,980,-1.5,,,,,,,
2004,1,5,21,30,0,0,0,0.2,326,-0.8,980,-1.6,,,,,,,
2004,1,5,22,30,0,0,0,0.2,326,-1.1,981,-1.8,,,,,,,
2004,1,5,23,30,0,0,0,0.2,327,-1.4000000000000001,981,-2.2,,,,,,,
2004,1,6,0,30,0,0,0,0.2,327,-1.6,981,-2.5,,,,,,,
2004,1,6,1,30,0,0,0,0.2,327,-1.9000000000000001,982,-2.9000000000000004,,,,,,,
2004,1,6,2,30,0,0,0,0.2,325,-2.2,982,-3.4000000000000004,,,,,,,
2004,1,6,3,30,0,0,0,0.2,323,-2.5,982,-4,,,,,,,
2004,1,6,4,30,0,0,0,0.2,322,-2.8000000000000003,983,-4.6000000000000005,,,,,,,
2004,1,6,5,30,0,0,0,0.2,321,-3.2,984,-5.2,,,,,,,
2004,1,6,6,30,0,0,0,0.2,321,-3.8000000000000003,985,-6,,,,,,,
2004,1,6,7,30,0,0,0,0.30000000000000004,321,-4.1000000000000005,985,-6.9,,,,,,,
2004,1,6,8,30,29,29,0,0.30000000000000004,321,-3.7,986,-7.7,,,,,,,
2004,1,6,9,30,15,15,0,0.30000000000000004,322,-3,987,-8.9,,,,,,,
2004,1,6,10,30,286,155,328,0.30000000000000004,323,-2.2,987,-9.8,,,,,,,
2004,1,6,11,30,185,178,14,0.30000000000000004,322,-1.3,987,-10.700000000000001,,,,,,,
2004,1,6,12,30,400,215,353,0.4,320,-0.6000000000000001,986,-11.200000000000001,,,,,,,
2004,1,6,13,30,356,224,258,0.4,320,-0.5,986,-11.600000000000001,,,,,,,
