Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Dew Point Units,DHI Units,DNI Units,GHI Units,Temperature Units,Pressure Units,Wind Direction Units,Wind Speed Units,Surface Albedo Units,Version
NSRDB,964286,-,-,-,35.89,-84.66,-5,291,-5,c,w/m2,w/m2,w/m2,c,mbar,Degrees,m/s,N/A,3.2.4
Year,Month,Day,Hour,Minute,GHI,DHI,DNI,Wind Speed,Wind Direction,Temperature,Pressure,Dew Point,,,,,,,
2004,1,1,0,30,0,0,0,0.7000000000000001,213,0.6000000000000001,994,-2.4000000000000004,,,,,,,
2004,1,1,1,30,0,0,0,0.7000000000000001,214,0.4,994,-2.4000000000000004,,,,,,,
2004,1,1,2,30,0,0,0,0.6000000000000001,215,0.1,994,-2.5,,,,,,,
2004,1,1,3,30,0,0,0,0.5,218,-0.2,994,-2.6,,,,,,,
2004,1,1,4,30,0,0,0,0.5,220,-0.2,994,-2.5,,,,,,,
2004,1,1,5,30,0,0,0,0.6000000000000001,217,0,995,-2.6,,,,,,,
2004,1,1,6,30,0,0,0,0.8,211,0.4,995,-3,,,,,,,
2004,1,1,7,30,0,0,0,0.7000000000000001,205,1.4000000000000001,995,-3.2,,,,,,,
2004,1,1,8,30,53,40,118,0.30000000000000004,199,3.8000000000000003,996,-1.1,,,,,,,
2004,1,1,9,30,200,82,436,0.1,199,6.6000000000000005,996,0.8,,,,,,,
2004,1,1,10,30,309,134,440,0.1,212,9.1,996,-0.1,,,,,,,
2004,1,1,11,30,273,215,121,0.1,221,11.700000000000001,995,0.7000000000000001,,,,,,,
2004,1,1,12,30,541,79,896,0.2,220,13.700000000000001,994,1.7000000000000002,,,,,,,
2004,1,1,13,30,433,153,558,0.2,217,14.5,993,2.5,,,,,,,
2004,1,1,14,30,204,181,53,0.2,214,13.8,993,3.5,,,,,,,
2004,1,1,15,30,96,96,0,0.2,212,12,992,6.5,,,,,,,
2004,1,1,16,30,64,63,7,0.2,211,10.200000000000001,992,7.1000000000000005,,,,,,,
2004,1,1,17,30,0,0,0,0.2,212,9.5,992,6.2,,,,,,,
2004,1,1,18,30,0,0,0,0.2,213,9.4,992,6.1000000000000005,,,,,,,
2004,1,1,19,30,0,0,0,0.2,207,8.700000000000001,992,6.1000000000000005,,,,,,,
2004,1,1,20,30,0,0,0,0.2,201,8.1,991,5.7,,,,,,,
2004,1,1,21,30,0,0,0,0.2,199,7.9,991,5.4,,,,,,,
2004,1,1,22,30,0,0,0,0.2,203,8.200000000000001,991,5.1000000000000005,,,,,,,
2004,1,1,23,30,0,0,0,0.2,208,8.6,991,5.2,,,,,,,
2004,1,2,0,30,0,0,0,0.2,211,8.700000000000001,991,5.1000000000000005,,,,,,,
2004,1,2,1,30,0,0,0,0.2,211,8.1,991,5.2,,,,,,,
2004,1,2,2,30,0,0,0,0.2,209,7.5,990,5.4,,,,,,,
2004,1,2,3,30,0,0,0,0.1,210,7.300000000000001,990,5.5,,,,,,,
2004,1,2,4,30,0,0,0,0.1,209,7.300000000000001,990,5.5,,,,,,,
2004,1,2,5,30,0,0,0,0.1,204,7.300000000000001,990,5.7,,,,,,,
2004,1,2,6,30,0,0,0,0.2,201,7.4,990,5.800000000000001,,,,,,,
2004,1,2,7,30,0,0,0,0.2,200,7.7,990,6.1000000000000005,,,,,,,
2004,1,2,8,30,11,11,0,0.2,196,8.4,990,6.7,,,,,,,
2004,1,2,9,30,59,59,0,0.2,192,9.5,990,7.5,,,,,,,
2004,1,2,10,30,63,63,0,0.30000000000000004,193,11,990,8.700000000000001,,,,,,,
2004,1,2,11,30,109,109,0,0.30000000000000004,198,12.8,989,10.100000000000001,,,,,,,
2004,1,2,12,30,188,182,11,0.30000000000000004,204,14.3,988,11.4,,,,,,,
2004,1,2,13,30,244,215,58,0.30000000000000004,204,15.4,987,12.4,,,,,,,
2004,1,2,14,30,75,75,0,0.30000000000000004,200,15.8,987,13.200000000000001,,,,,,,
2004,1,2,15,30,148,131,51,0.30000000000000004,195,15.5,986,13.600000000000001,,,,,,,
