Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Dew Point Units,DHI Units,DNI Units,GHI Units,Temperature Units,Pressure Units,Wind Direction Units,Wind Speed Units,Surface Albedo Units,Version
NSRDB,905300,-,-,-,35.57,-87.54,-6,288,-6,c,w/m2,w/m2,w/m2,c,mbar,Degrees,m/s,N/A,3.2.4
Year,Month,Day,Hour,Minute,GHI,DHI,DNI,Wind Speed,Wind Direction,Temperature,Pressure,Dew Point,,,,,,,
2007,1,1,0,30,0,0,0,0.30000000000000004,259,4.4,983,4.4,,,,,,,
2007,1,1,1,30,0,0,0,0.30000000000000004,258,3.9000000000000004,983,3.9000000000000004,,,,,,,
2007,1,1,2,30,0,0,0,0.4,261,3.4000000000000004,983,3.4000000000000004,,,,,,,
2007,1,1,3,30,0,0,0,0.30000000000000004,262,2.8000000000000003,983,2.8000000000000003,,,,,,,
2007,1,1,4,30,0,0,0,0.30000000000000004,260,2.3000000000000003,984,2.3000000000000003,,,,,,,
2007,1,1,5,30,0,0,0,0.30000000000000004,263,1.8,984,1.8,,,,,,,
2007,1,1,6,30,0,0,0,0.4,268,1.8,985,1.8,,,,,,,
2007,1,1,7,30,12,12,0,0.5,276,2.7,986,1.3,,,,,,,
2007,1,1,8,30,11,11,0,0.7000000000000001,282,4.1000000000000005,986,-0.1,,,,,,,
2007,1,1,9,30,41,41,0,0.8,284,5.2,987,-1,,,,,,,
2007,1,1,10,30,59,59,0,0.8,286,6,987,-1.2000000000000002,,,,,,,
2007,1,1,11,30,91,91,0,0.8,290,6.5,987,-1.2000000000000002,,,,,,,
2007,1,1,12,30,73,73,0,0.8,294,6.6000000000000005,988,-1.1,,,,,,,
2007,1,1,13,30,64,64,0,0.8,299,6.2,988,-1,,,,,,,
2007,1,1,14,30,42,42,0,0.8,306,5.4,989,-1.1,,,,,,,
2007,1,1,15,30,30,30,0,0.6000000000000001,316,4,990,-1,,,,,,,
2007,1,1,16,30,29,20,205,0.4,327,2.2,991,-0.5,,,,,,,
2007,1,1,17,30,0,0,0,0.30000000000000004,333,1.2000000000000002,991,-0.2,,,,,,,
2007,1,1,18,30,0,0,0,0.30000000000000004,348,0.1,993,-0.4,,,,,,,
2007,1,1,19,30,0,0,0,0.30000000000000004,356,-0.8,993,-0.8,,,,,,,
2007,1,1,20,30,0,0,0,0.2,183,-1.5,993,-1.5,,,,,,,
2007,1,1,21,30,0,0,0,0.2,9,-1.9000000000000001,994,-1.9000000000000001,,,,,,,
2007,1,1,22,30,0,0,0,0.30000000000000004,15,-2.3000000000000003,994,-2.3000000000000003,,,,,,,
2007,1,1,23,30,0,0,0,0.30000000000000004,21,-2.5,994,-2.5,,,,,,,
2007,1,2,0,30,0,0,0,0.30000000000000004,25,-2.4000000000000004,994,-2.4000000000000004,,,,,,,
2007,1,2,1,30,0,0,0,0.30000000000000004,25,-2.2,994,-2.2,,,,,,,
