Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Dew Point Units,DHI Units,DNI Units,GHI Units,Temperature Units,Pressure Units,Wind Direction Units,Wind Speed Units,Surface Albedo Units,Version
NSRDB,561933,-,-,-,36.05,-102.02,-6,1107,-6,c,w/m2,w/m2,w/m2,c,mbar,Degrees,m/s,N/A,3.2.4
Year,Month,Day,Hour,Minute,GHI,DHI,DNI,Wind Speed,Wind Direction,Temperature,Pressure,Dew Point,,,,,,,
2021,1,1,0,30,0,0,0,4.1000000000000005,353,-2.3000000000000003,887,-9.8,,,,,,,
2021,1,1,1,30,0,0,0,4.1000000000000005,354,-2.4000000000000004,887,-9.9,,,,,,,
2021,1,1,2,30,0,0,0,4.2,355,-2.7,888,-10.100000000000001,,,,,,,
2021,1,1,3,30,0,0,0,4.4,353,-3.1,888,-10.4,,,,,,,
2021,1,1,4,30,0,0,0,4.3,352,-3.5,888,-10.600000000000001,,,,,,,
2021,1,1,5,30,0,0,0,3.8000000000000003,350,-3.9000000000000004,889,-10.8,,,,,,,
2021,1,1,6,30,0,0,0,3.5,347,-4,890,-10.9,,,,,,,
2021,1,1,7,30,0,0,0,3.7,344,-3.5,891,-10.9,,,,,,,
2021,1,1,8,30,37,31,77,3.9000000000000004,345,-2.2,891,-10.8,,,,,,,
2021,1,1,9,30,164,86,319,4.2,173,-0.4,892,-10.5,,,,,,,
2021,1,1,10,30,229,162,177,4.7,0,1.3,892,-10.4,,,,,,,
2021,1,1,11,30,263,204,125,4.800000000000001,177,2.5,892,-10.8,,,,,,,
2021,1,1,12,30,359,228,256,4.800000000000001,352,3.4000000000000004,891,-11.3,,,,,,,
2021,1,1,13,30,416,188,451,4.5,348,3.9000000000000004,891,-11.700000000000001,,,,,,,
2021,1,1,14,30,323,187,303,3.7,345,4,891,-11.9,,,,,,,
2021,1,1,15,30,237,130,308,2.2,341,3,892,-11.200000000000001,,,,,,,
2021,1,1,16,30,151,64,428,1.2000000000000002,339,1.2000000000000002,892,-8.700000000000001,,,,,,,
2021,1,1,17,30,16,15,25,1.2000000000000002,338,0.4,892,-8.8,,,,,,,
2021,1,1,18,30,0,0,0,1.3,343,0,893,-9,,,,,,,
2021,1,1,19,30,0,0,0,1.3,349,-0.1,894,-8.8,,,,,,,
2021,1,1,20,30,0,0,0,1.3,355,-0.2,894,-8.700000000000001,,,,,,,
2021,1,1,21,30,0,0,0,1.3,358,-0.4,895,-8.4,,,,,,,
2021,1,1,22,30,0,0,0,1.2000000000000002,358,-0.6000000000000001,894,-8.200000000000001,,,,,,,
2021,1,1,23,30,0,0,0,1.1,352,-0.9,894,-8,,,,,,,
2021,1,2,0,30,0,0,0,1,340,-1.1,894,-7.800000000000001,,,,,,,
2021,1,2,1,30,0,0,0,1.1,328,-1.4000000000000001,893,-7.7,,,,,,,
2021,1,2,2,30,0,0,0,1.1,319,-1.7000000000000002,893,-7.7,,,,,,,
2021,1,2,3,30,0,0,0,1.1,311,-1.9000000000000001,893,-7.7,,,,,,,
2021,1,2,4,30,0,0,0,1,296,-1.8,893,-7.5,,,,,,,
2021,1,2,5,30,0,0,0,1,270,-2.1,893,-7.5,,,,,,,
2021,1,2,6,30,0,0,0,1.1,244,-3,893,-7.5,,,,,,,
2021,1,2,7,30,0,0,0,1.4000000000000001,229,-3,893,-7.7,,,,,,,
2021,1,2,8,30,64,26,463,2.4000000000000004,218,-1.2000000000000002,892,-8.1,,,,,,,
2021,1,2,9,30,235,45,773,3,208,1.7000000000000002,892,-8.700000000000001,,,,,,,
2021,1,2,10,30,393,56,892,3,204,4.5,891,-9.9,,,,,,,
2021,1,2,11,30,506,59,951,2.9000000000000004,209,6.9,890,-10.4,,,,,,,
2021,1,2,12,30,563,59,981,2.7,218,8.9,888,-10,,,,,,,
2021,1,2,13,30,557,58,984,2.5,229,10.3,888,-9.200000000000001,,,,,,,
2021,1,2,14,30,487,55,958,2.1,239,11,887,-8.5,,,,,,,
2021,1,2,15,30,364,49,906,1.3,243,10.600000000000001,887,-8.1,,,,,,,
2021,1,2,16,30,197,39,766,0.5,200,9,887,-5.1000000000000005,,,,,,,
2021,1,2,17,30,29,17,303,0.4,157,8.1,887,-7.4,,,,,,,
2021,1,2,18,30,0,0,0,0.7000000000000001,135,6,887,-8.1,,,,,,,
2021,1,2,19,30,0,0,0,0.7000000000000001,157,5.5,887,-8.4,,,,,,,
2021,1,2,20,30,0,0,0,0.6000000000000001,206,5.1000000000000005,887,-8.8,,,,,,,
2021,1,2,21,30,0,0,0,0.8,263,4.2,887,-9.200000000000001,,,,,,,
2021,1,2,22,30,0,0,0,1.3,297,2.4000000000000004,887,-9.5,,,,,,,
2021,1,2,23,30,0,0,0,1.7000000000000002,315,0.5,887,-9.4,,,,,,,
2021,1,3,0,30,0,0,0,2.5,329,-0.5,887,-9.200000000000001,,,,,,,
2021,1,3,1,30,0,0,0,3.6,339,-0.9,887,-9.200000000000001,,,,,,,
2021,1,3,2,30,0,0,0,4.5,345,-1.1,887,-8.8,,,,,,,
2021,1,3,3,30,0,0,0,4.6000000000000005,346,-1.4000000000000001,888,-8.4,,,,,,,
2021,1,3,4,30,0,0,0,4.5,344,-1.8,888,-8.3,,,,,,,
2021,1,3,5,30,0,0,0,4.2,344,-2,889,-8.4,,,,,,,
2021,1,3,6,30,0,0,0,3.7,342,-2.3000000000000003,889,-8.5,,,,,,,
2021,1,3,7,30,0,0,0,3.6,338,-1.8,890,-8.6,,,,,,,
2021,1,3,8,30,65,26,475,3.8000000000000003,331,0.5,890,-8.700000000000001,,,,,,,
2021,1,3,9,30,238,45,786,3.4000000000000004,328,4.1000000000000005,891,-8.6,,,,,,,
2021,1,3,10,30,397,54,906,2.5,338,7.6000000000000005,890,-8.1,,,,,,,
2021,1,3,11,30,511,57,964,1.9000000000000001,322,10.3,889,-7.6000000000000005,,,,,,,
2021,1,3,12,30,568,59,988,2.1,281,11.8,888,-8,,,,,,,
2021,1,3,13,30,560,58,986,2.7,257,12.600000000000001,887,-8.5,,,,,,,
2021,1,3,14,30,490,55,961,2.9000000000000004,246,12.9,887,-9,,,,,,,
2021,1,3,15,30,364,50,897,2.2,233,11.8,887,-9.3,,,,,,,
2021,1,3,16,30,195,39,746,1.4000000000000001,211,8.3,887,-4.800000000000001,,,,,,,
2021,1,3,17,30,30,18,290,1.5,198,5.9,887,-6.2,,,,,,,
2021,1,3,18,30,0,0,0,1.8,182,3.9000000000000004,887,-7.4,,,,,,,
2021,1,3,19,30,0,0,0,2,179,4,887,-7.6000000000000005,,,,,,,
2021,1,3,20,30,0,0,0,2.1,180,4.4,887,-7.300000000000001,,,,,,,
2021,1,3,21,30,0,0,0,1.8,187,4.1000000000000005,887,-6.9,,,,,,,
