Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Dew Point Units,DHI Units,DNI Units,GHI Units,Temperature Units,Pressure Units,Wind Direction Units,Wind Speed Units,Surface Albedo Units,Version
NSRDB,1107247,-,-,-,38.17,-78.26,-5,164,-5,c,w/m2,w/m2,w/m2,c,mbar,Degrees,m/s,N/A,3.2.4
Year,Month,Day,Hour,Minute,GHI,DHI,DNI,Wind Speed,Wind Direction,Temperature,Pressure,Dew Point,,,,,,,
2007,1,1,0,30,0,0,0,0.5,165,10.4,995,9.4,,,,,,,
2007,1,1,1,30,0,0,0,0.5,167,11.600000000000001,994,11.100000000000001,,,,,,,
2007,1,1,2,30,0,0,0,0.5,170,12.3,992,11.8,,,,,,,
2007,1,1,3,30,0,0,0,0.5,181,13,991,12.5,,,,,,,
2007,1,1,4,30,0,0,0,0.4,201,13.5,991,13.4,,,,,,,
2007,1,1,5,30,0,0,0,0.30000000000000004,218,13.200000000000001,991,13.200000000000001,,,,,,,
2007,1,1,6,30,0,0,0,0.2,236,12.3,992,12.3,,,,,,,
2007,1,1,7,30,0,0,0,0.1,253,12,992,12,,,,,,,
2007,1,1,8,30,37,37,0,0.1,260,12.600000000000001,992,12.3,,,,,,,
2007,1,1,9,30,93,93,0,0.2,265,13.4,993,13.100000000000001,,,,,,,
2007,1,1,10,30,42,42,0,0.2,270,13.9,992,13.200000000000001,,,,,,,
2007,1,1,11,30,61,61,0,0.30000000000000004,258,14.4,991,12.8,,,,,,,
2007,1,1,12,30,35,35,0,0.30000000000000004,239,14.8,990,11.9,,,,,,,
2007,1,1,13,30,260,197,141,0.30000000000000004,231,15.3,989,11.600000000000001,,,,,,,
2007,1,1,14,30,270,128,389,0.2,230,15,988,11.700000000000001,,,,,,,
2007,1,1,15,30,62,62,0,0.2,233,13.3,989,12.200000000000001,,,,,,,
2007,1,1,16,30,33,30,34,0.2,252,10.8,990,10.8,,,,,,,
2007,1,1,17,30,0,0,0,0.30000000000000004,275,9.9,991,9.700000000000001,,,,,,,
2007,1,1,18,30,0,0,0,0.4,285,10.100000000000001,991,8.8,,,,,,,
2007,1,1,19,30,0,0,0,0.4,301,8,994,6.6000000000000005,,,,,,,
2007,1,1,20,30,0,0,0,0.5,304,6.800000000000001,995,4.3,,,,,,,
2007,1,1,21,30,0,0,0,0.5,305,5.5,996,2.7,,,,,,,
2007,1,1,22,30,0,0,0,0.4,305,4.3,997,0.9,,,,,,,
2007,1,1,23,30,0,0,0,0.4,305,3.4000000000000004,998,-0.30000000000000004,,,,,,,
2007,1,2,0,30,0,0,0,0.30000000000000004,303,2.8000000000000003,998,-0.6000000000000001,,,,,,,
