Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Dew Point Units,DHI Units,DNI Units,GHI Units,Temperature Units,Pressure Units,Wind Direction Units,Wind Speed Units,Surface Albedo Units,Version
NSRDB,892960,-,-,-,44.13,-88.1,-6,254,-6,c,w/m2,w/m2,w/m2,c,mbar,Degrees,m/s,N/A,3.2.4
Year,Month,Day,Hour,Minute,GHI,DHI,DNI,Wind Speed,Wind Direction,Temperature,Pressure,Dew Point,,,,,,,
2001,1,1,0,30,0,0,0,2.5,348,-10.4,997,-11,,,,,,,
2001,1,1,1,30,0,0,0,2.5,350,-10.700000000000001,998,-11.4,,,,,,,
2001,1,1,2,30,0,0,0,2.6,350,-10.8,998,-11.600000000000001,,,,,,,
2001,1,1,3,30,0,0,0,2.7,351,-10.9,998,-11.700000000000001,,,,,,,
2001,1,1,4,30,0,0,0,2.8000000000000003,352,-11,999,-11.700000000000001,,,,,,,
2001,1,1,5,30,0,0,0,2.8000000000000003,353,-11.200000000000001,999,-11.9,,,,,,,
2001,1,1,6,30,0,0,0,2.6,354,-11.4,999,-12.100000000000001,,,,,,,
2001,1,1,7,30,0,0,0,2.7,354,-11.100000000000001,1000,-12.3,,,,,,,
2001,1,1,8,30,123,38,597,3.3000000000000003,355,-9.700000000000001,1000,-11.5,,,,,,,
2001,1,1,9,30,258,56,773,3.6,356,-7.800000000000001,1000,-9.700000000000001,,,,,,,
2001,1,1,10,30,363,66,865,3.5,354,-6.5,1000,-8.5,,,,,,,
2001,1,1,11,30,416,69,899,3.5,349,-6,999,-7.9,,,,,,,
2001,1,1,12,30,413,68,899,3.6,342,-5.9,999,-7.9,,,,,,,
2001,1,1,13,30,354,64,863,3.4000000000000004,337,-5.800000000000001,999,-8,,,,,,,
2001,1,1,14,30,246,54,777,2.7,332,-6.2,1000,-7.9,,,,,,,
2001,1,1,15,30,108,35,585,2.2,328,-7.6000000000000005,1000,-8.5,,,,,,,
2001,1,1,16,30,0,0,0,2.2,326,-9.3,1001,-10.5,,,,,,,
2001,1,1,17,30,0,0,0,2.2,325,-10.100000000000001,1001,-11.8,,,,,,,
2001,1,1,18,30,0,0,0,2.3000000000000003,322,-10.700000000000001,1002,-12.100000000000001,,,,,,,
2001,1,1,19,30,0,0,0,2.3000000000000003,319,-10.700000000000001,1002,-12.200000000000001,,,,,,,
2001,1,1,20,30,0,0,0,2.2,315,-10.8,1002,-12.100000000000001,,,,,,,
2001,1,1,21,30,0,0,0,2.2,308,-11.4,1002,-12.3,,,,,,,
2001,1,1,22,30,0,0,0,2.3000000000000003,300,-12.4,1002,-13,,,,,,,
2001,1,1,23,30,0,0,0,2.7,294,-13.100000000000001,1002,-13.8,,,,,,,
2001,1,2,0,30,0,0,0,3.4000000000000004,291,-13,1002,-14,,,,,,,
2001,1,2,1,30,0,0,0,4.1000000000000005,290,-12.5,1002,-13.5,,,,,,,
2001,1,2,2,30,0,0,0,4.5,289,-12.5,1002,-13.200000000000001,,,,,,,
2001,1,2,3,30,0,0,0,4.7,286,-12.700000000000001,1003,-13.4,,,,,,,
2001,1,2,4,30,0,0,0,4.7,282,-13,1003,-13.600000000000001,,,,,,,
2001,1,2,5,30,0,0,0,4.7,278,-13.4,1003,-14,,,,,,,
2001,1,2,6,30,0,0,0,4.7,275,-13.8,1003,-14.4,,,,,,,
2001,1,2,7,30,0,0,0,4.800000000000001,271,-13.9,1004,-14.700000000000001,,,,,,,
2001,1,2,8,30,127,40,616,5,267,-13.3,1003,-14.600000000000001,,,,,,,
2001,1,2,9,30,265,58,794,5.300000000000001,262,-12.100000000000001,1003,-13.8,,,,,,,
2001,1,2,10,30,365,66,866,5.6000000000000005,260,-10.700000000000001,1003,-12.5,,,,,,,
2001,1,2,11,30,418,69,900,5.800000000000001,256,-9.700000000000001,1002,-11.5,,,,,,,
2001,1,2,12,30,415,68,901,6,251,-9,1001,-10.700000000000001,,,,,,,
