Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Dew Point Units,DHI Units,DNI Units,GHI Units,Temperature Units,Pressure Units,Wind Direction Units,Wind Speed Units,Surface Albedo Units,Version
NSRDB,870374,-,-,-,43.53,-89.1,-6,295,-6,c,w/m2,w/m2,w/m2,c,mbar,Degrees,m/s,N/A,3.2.4
Year,Month,Day,Hour,Minute,GHI,DHI,DNI,Wind Speed,Wind Direction,Temperature,Pressure,Dew Point,,,,,,,
2013,1,1,0,30,0,0,0,2.2,343,-19.3,986,-21,,,,,,,
2013,1,1,1,30,0,0,0,2.1,343,-20.700000000000003,986,-22.3,,,,,,,
2013,1,1,2,30,0,0,0,2,342,-22,987,-23.700000000000003,,,,,,,
2013,1,1,3,30,0,0,0,2,341,-22.900000000000002,987,-24.6,,,,,,,
2013,1,1,4,30,0,0,0,2,340,-23.400000000000002,987,-25.200000000000003,,,,,,,
2013,1,1,5,30,0,0,0,2,340,-23.400000000000002,987,-25.400000000000002,,,,,,,
2013,1,1,6,30,0,0,0,2.1,338,-23,988,-25.3,,,,,,,
2013,1,1,7,30,0,0,0,2.6,335,-22,988,-24.8,,,,,,,
2013,1,1,8,30,127,33,675,3.1,329,-20.200000000000003,988,-23.5,,,,,,,
2013,1,1,9,30,269,46,849,2.9000000000000004,320,-18.1,988,-21.400000000000002,,,,,,,
2013,1,1,10,30,377,54,923,2.7,309,-15.9,988,-19.1,,,,,,,
2013,1,1,11,30,433,57,955,2.7,296,-14.100000000000001,987,-17.2,,,,,,,
2013,1,1,12,30,432,54,959,2.9000000000000004,281,-13,986,-16.2,,,,,,,
2013,1,1,13,30,376,52,928,3.1,272,-12.700000000000001,986,-15.700000000000001,,,,,,,
2013,1,1,14,30,269,44,856,2.6,269,-13.200000000000001,985,-15.600000000000001,,,,,,,
2013,1,1,15,30,128,30,690,1.9000000000000001,267,-15.5,985,-16.2,,,,,,,
2013,1,1,16,30,0,0,0,1.9000000000000001,266,-18.5,985,-19.400000000000002,,,,,,,
2013,1,1,17,30,0,0,0,2.1,266,-19.700000000000003,985,-21.900000000000002,,,,,,,
2013,1,1,18,30,0,0,0,2.3000000000000003,268,-20.8,986,-22.700000000000003,,,,,,,
2013,1,1,19,30,0,0,0,2.3000000000000003,267,-21.1,986,-23.1,,,,,,,
2013,1,1,20,30,0,0,0,2.2,266,-21.3,985,-23.400000000000002,,,,,,,
2013,1,1,21,30,0,0,0,2.2,263,-21.3,985,-23.5,,,,,,,
2013,1,1,22,30,0,0,0,2.2,261,-20.900000000000002,984,-23.3,,,,,,,
2013,1,1,23,30,0,0,0,2.3000000000000003,259,-20.3,984,-22.8,,,,,,,
2013,1,2,0,30,0,0,0,2.3000000000000003,256,-19.5,984,-22,,,,,,,
